,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.5153755686197385, 'activation': 'relu', 'hidden_layer_sizes': (54, 175), 'alpha': 6.006829116174098, 'max_iter': 254, 'batch_size': 436, 'shuffle': True, 'momentum': 0.38945311607358324, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.050948513887631164, 'activation': 'tanh', 'hidden_layer_sizes': (149, 75), 'alpha': 7.525475310540754, 'max_iter': 467, 'batch_size': 527, 'shuffle': True, 'momentum': 0.8453380189322607, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.158996643362531, 'activation': 'logistic', 'hidden_layer_sizes': (16, 115, 7), 'alpha': 7.836801385074471, 'max_iter': 73, 'batch_size': 429, 'shuffle': False, 'momentum': 0.3043991101795442, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.810562254117698, 'activation': 'relu', 'hidden_layer_sizes': (130, 185, 119), 'alpha': 1.6268660123472898, 'max_iter': 389, 'batch_size': 376, 'shuffle': True, 'momentum': 0.7412481725296497, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2609166727873933, 'activation': 'relu', 'hidden_layer_sizes': (10, 193), 'alpha': 5.3097551373407805, 'max_iter': 227, 'batch_size': 348, 'shuffle': False, 'momentum': 0.2611443053554011, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.360278273834899, 'activation': 'relu', 'hidden_layer_sizes': (29, 187, 142, 6, 200), 'alpha': 0.7109219735299169, 'max_iter': 225, 'batch_size': 284, 'shuffle': False, 'momentum': 0.38249840623753634, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.009039814481751, 'activation': 'relu', 'hidden_layer_sizes': (187, 39, 73), 'alpha': 2.2893676782836416, 'max_iter': 193, 'batch_size': 343, 'shuffle': True, 'momentum': 0.3099441048526276, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.87061235388542, 'activation': 'relu', 'hidden_layer_sizes': (94, 156, 120, 189), 'alpha': 0.9242615381930658, 'max_iter': 216, 'batch_size': 390, 'shuffle': True, 'momentum': 0.6840965361140496, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.509878131845208, 'activation': 'logistic', 'hidden_layer_sizes': (118, 172, 162), 'alpha': 1.3257172820685443, 'max_iter': 20, 'batch_size': 343, 'shuffle': True, 'momentum': 0.3810269444783995, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.959319932311711, 'activation': 'tanh', 'hidden_layer_sizes': (189, 43), 'alpha': 9.176061145024143, 'max_iter': 9, 'batch_size': 90, 'shuffle': True, 'momentum': 0.04341137213391586, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9715222319673975, 'activation': 'relu', 'hidden_layer_sizes': (164,), 'alpha': 8.219502325294588, 'max_iter': 438, 'batch_size': 95, 'shuffle': True, 'momentum': 0.14978314396785142, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.417306237848561, 'activation': 'logistic', 'hidden_layer_sizes': (76,), 'alpha': 6.290167094508416, 'max_iter': 424, 'batch_size': 347, 'shuffle': False, 'momentum': 0.8184932268374757, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.390314651916741, 'activation': 'tanh', 'hidden_layer_sizes': (70, 20, 176), 'alpha': 8.710325011005375, 'max_iter': 357, 'batch_size': 192, 'shuffle': False, 'momentum': 0.31936356295080465, 'nesterovs_momentum': False}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5220880089221482, 'activation': 'relu', 'hidden_layer_sizes': (33, 140), 'alpha': 9.414852836365109, 'max_iter': 337, 'batch_size': 356, 'shuffle': False, 'momentum': 0.5161640923380694, 'nesterovs_momentum': False}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.635355919613208, 'activation': 'logistic', 'hidden_layer_sizes': (80, 29, 183), 'alpha': 3.4834140169873757, 'max_iter': 50, 'batch_size': 438, 'shuffle': False, 'momentum': 0.9113573537299496, 'nesterovs_momentum': False}"
