,SLM Simple Ensemble,SLM Bagging Ensemble,SLM RIW Ensemble,SLM Boosting Ensemble (Median + FLR),SLM Boosting Ensemble (Median + RLR),SLM Boosting Ensemble (Mean + FLR),SLM Boosting Ensemble (Mean + RLR)
0,0.5972042780749632,0.5673958773754756,0.568543763631257,0.5874516687440077,0.6229273495958658,0.6092418285253873,0.6050380265790513
1,0.5743950324848386,0.5888124823085316,0.5831169933750349,0.617364495480332,0.5839002960119076,0.6028341473711515,0.5495789703685837
2,0.6022594278254157,0.6223643491080955,0.5911547569484226,0.5738674765748502,0.6212231281810365,0.6545848943840064,0.570543727457727
3,0.5888371598533263,0.5986995710126154,0.5973109575827027,0.6486358783138058,0.6258213239083581,0.6507824736097401,0.5737238683532975
4,0.5724831738624601,0.5822667134770896,0.593023460933886,0.6250183480210486,0.5765714329889078,0.6221307255380576,0.6520907370676171
5,0.5749621133002536,0.5875657654415699,0.568525551298426,0.6327265751119272,0.6038510684399679,0.511599070485742,0.5824471451814441
6,0.5775760139113787,0.5689603335526698,0.5729825000023773,0.6877364992091591,0.5968668670433304,0.5253011335873038,0.5738366413436297
7,0.5588410134667148,0.560532487296953,0.5631501297683024,0.570906437734146,0.571875129480276,0.5706499386741596,0.5617577975559481
8,0.5871109441020096,0.6048118762464569,0.584587805717949,0.6016859223942199,0.6134031716226747,0.5938787724207522,0.6219698643727235
9,0.5628985307654486,0.5448349287084149,0.5488162514624798,0.612313531079983,0.589717479672926,0.5345066678078304,0.5487070428559973
10,0.5697730651982995,0.5564684407865886,0.5796895555934767,0.6964333566356102,0.5900322805789003,0.534095613730053,0.5278940438963885
11,0.5498560356988356,0.5659195650884783,0.5443559160961903,0.5877031246139852,0.5810442788206793,0.5460502313269224,0.5774831922827084
12,0.5610508479632851,0.569958075198004,0.5693339980237265,0.5319300915051208,0.6382246785270735,0.5827360556445987,0.5758736292285049
13,0.5689149663130968,0.5747270159742217,0.5810468500614777,0.6271685056938126,0.6049239044353507,0.5411630868413009,0.5241470453965057
14,0.5574410366729333,0.5499307581249463,0.5702610931357274,0.532684250840032,0.612914616583637,0.5106084906572601,0.5231726383268149
15,0.5680968749162292,0.5646022179187741,0.5826770008157872,0.6719334004535755,0.5930486527500418,0.5221360992223688,0.5264032421974995
16,0.574259062623595,0.5730967846574732,0.5992651284216108,0.5777807618976967,0.649726481369492,0.5137342198810323,0.5652138590185354
17,0.5612996257621438,0.571783864634613,0.5858661809957448,0.5215863810559065,0.6215066826428886,0.5096172702896397,0.5298153311273885
18,0.569828657470696,0.5902059066857764,0.5760796848593509,0.6775929265788866,0.6533846874511157,0.5225165051973768,0.6039255274957109
19,0.5734353555614433,0.587104453344928,0.6076630362107821,0.5927160637028764,0.6167068851220143,0.5523362432678295,0.6217287514039662
20,0.5729486683422682,0.5796583709855797,0.5972247423468713,0.6406715731058901,0.607670366070022,0.6235738885578338,0.5864406125659056
21,0.574431003204294,0.6154311411962968,0.5979788170262206,0.6494465187405233,0.592752868530413,0.5423575489125745,0.5392474878027484
22,0.5660951360155504,0.5560210645251814,0.5686036878776145,0.5342683157853954,0.5860283280694755,0.5693198601155567,0.5397336939118946
23,0.5556213319539866,0.5665146717169447,0.5491805429044132,0.6169901757684876,0.6417075360519198,0.5500134504302381,0.5567639251942312
24,0.5762790057177233,0.5643181936332762,0.5612650713513172,0.5740421139924632,0.6005419907637536,0.7653600567500094,0.5333199118011551
25,0.580231346412283,0.5783847152054351,0.581020062746968,0.6620370029791401,0.6099911659463019,0.5449443041889983,0.5737442401862015
26,0.5873326547464456,0.5769634149438913,0.6033076855310803,0.5298961480505299,0.5798642775554737,0.5758055950202097,0.5794522536248242
27,0.5396898960756343,0.5740410074298758,0.5674504240045424,0.6265809540884741,0.5634401612566443,0.7073177174388535,0.5526388662052741
28,0.5876145909846605,0.5946811315189162,0.5707061263125459,0.6750230053540098,0.5888798715933063,0.5398188595367478,0.606484772626704
29,0.5888406406531598,0.5757869715493268,0.5919915020686296,0.5599296434649439,0.5766093298396632,0.5802971052611634,0.5928440030511168
