,slm
0,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.9122713366030768, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
1,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.1881173890590786, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
2,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 1.1586719210335696, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
3,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 0.3037050755236452, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
4,"{'stopping_criterion': MaxGen_30, 'population_size': 10, 'layers': 5, 'learning_step': 1.8925983863298304, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.8756218315484462}"
5,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 0.2362375230384082, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
6,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 0.5910468707732074, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
7,"{'stopping_criterion': MaxGen_110, 'population_size': 10, 'layers': 2, 'learning_step': 0.005008997363266665, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.5557991112152139}"
8,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.8150560126799322, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
9,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 0.46952083714536297, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
10,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 0.2650961024409519, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
11,"{'stopping_criterion': MaxGen_188, 'population_size': 10, 'layers': 5, 'learning_step': 1.956724864368008, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
12,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 1.3377938458787444, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
13,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 3, 'learning_step': 0.6349869495112173, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
14,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
15,"{'stopping_criterion': MaxGen_9, 'population_size': 10, 'layers': 3, 'learning_step': 1.5476432273767176, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}"
16,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.0378697908456107, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
17,"{'stopping_criterion': MaxGen_25, 'population_size': 10, 'layers': 5, 'learning_step': 0.993728258914299, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}"
18,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 1.1641205189624977, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
19,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.6100668363009478, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
20,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 4, 'learning_step': 1.5877472121134024, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
