,MLP (LBFGS),MLP (ADAM),MLP (SGD)
10,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (61, 96, 196, 53), 'alpha': 3.9718662736432657, 'max_iter': 797}","{'solver': 'adam', 'learning_rate_init': 0.04643162111029273, 'activation': 'tanh', 'hidden_layer_sizes': (93, 28), 'alpha': 4.786462768173544, 'max_iter': 519, 'batch_size': 69, 'shuffle': False, 'beta_1': 0.6564955612017271, 'beta_2': 0.5570966841854467}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34346355634844183, 'activation': 'logistic', 'hidden_layer_sizes': (155, 110, 126), 'alpha': 3.6313329484911208, 'max_iter': 640, 'batch_size': 126, 'shuffle': False, 'momentum': 0.21491171772455142, 'nesterovs_momentum': False}"
11,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (31, 24, 86, 49, 35), 'alpha': 1.6441023519049132, 'max_iter': 860}","{'solver': 'adam', 'learning_rate_init': 0.05346198591965172, 'activation': 'logistic', 'hidden_layer_sizes': (45, 96, 50, 105), 'alpha': 3.6117185734108928, 'max_iter': 191, 'batch_size': 63, 'shuffle': False, 'beta_1': 0.09567304501571822, 'beta_2': 0.5179963459551865}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7629050659655306, 'activation': 'logistic', 'hidden_layer_sizes': (29, 175, 85, 154), 'alpha': 0, 'max_iter': 8, 'batch_size': 113, 'shuffle': True, 'momentum': 0.3681722893603076, 'nesterovs_momentum': False}"
12,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (34, 35, 54, 52, 33), 'alpha': 3.524972838735624, 'max_iter': 344}","{'solver': 'adam', 'learning_rate_init': 0.12271223786292373, 'activation': 'logistic', 'hidden_layer_sizes': (18, 138), 'alpha': 3.488289531133887, 'max_iter': 861, 'batch_size': 87, 'shuffle': False, 'beta_1': 0.19151452051938203, 'beta_2': 0.437714956977254}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6313370209165674, 'activation': 'logistic', 'hidden_layer_sizes': (96, 142), 'alpha': 0, 'max_iter': 983, 'batch_size': 58, 'shuffle': False, 'momentum': 0.20108412072115436, 'nesterovs_momentum': False}"
13,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (169, 185, 5, 194), 'alpha': 0.48668989457251965, 'max_iter': 802}","{'solver': 'adam', 'learning_rate_init': 0.2166427520139688, 'activation': 'logistic', 'hidden_layer_sizes': (79, 10, 63, 65, 107), 'alpha': 1.8947495138663766, 'max_iter': 436, 'batch_size': 57, 'shuffle': True, 'beta_1': 0.9618080575966325, 'beta_2': 0.459318979414435}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7626547054922931, 'activation': 'logistic', 'hidden_layer_sizes': (85, 12, 36, 36, 74), 'alpha': 0, 'max_iter': 433, 'batch_size': 60, 'shuffle': False, 'momentum': 0.8051473462028286, 'nesterovs_momentum': True}"
14,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (163, 2, 69, 75), 'alpha': 2.2973919567085255, 'max_iter': 769}","{'solver': 'adam', 'learning_rate_init': 1.5616630180344275, 'activation': 'logistic', 'hidden_layer_sizes': (2, 21), 'alpha': 4.095183637798253, 'max_iter': 87, 'batch_size': 68, 'shuffle': True, 'beta_1': 0.6476290331723114, 'beta_2': 0.21446401640405877}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6938819036296469, 'activation': 'logistic', 'hidden_layer_sizes': (124, 97, 181, 99, 156), 'alpha': 0, 'max_iter': 522, 'batch_size': 102, 'shuffle': False, 'momentum': 0.36840112925544766, 'nesterovs_momentum': False}"
15,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (87, 182, 191), 'alpha': 4.003098683244441, 'max_iter': 572}","{'solver': 'adam', 'learning_rate_init': 0.3526987252483436, 'activation': 'logistic', 'hidden_layer_sizes': (191, 78, 43, 143), 'alpha': 0, 'max_iter': 589, 'batch_size': 99, 'shuffle': False, 'beta_1': 0.6261344581550838, 'beta_2': 0.14700374851597903}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6469837923528674, 'activation': 'logistic', 'hidden_layer_sizes': (155, 76, 141, 60), 'alpha': 0, 'max_iter': 868, 'batch_size': 87, 'shuffle': False, 'momentum': 0.28229599792564675, 'nesterovs_momentum': False}"
16,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (187, 160, 133, 26), 'alpha': 1.5287768487209272, 'max_iter': 603}","{'solver': 'adam', 'learning_rate_init': 0.8003919826187208, 'activation': 'logistic', 'hidden_layer_sizes': (98, 183, 7), 'alpha': 0, 'max_iter': 200, 'batch_size': 96, 'shuffle': False, 'beta_1': 0.7722862699962727, 'beta_2': 0.4030925980565033}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6984823854958324, 'activation': 'relu', 'hidden_layer_sizes': (81, 116, 14, 129, 34), 'alpha': 3.97077140671461, 'max_iter': 844, 'batch_size': 89, 'shuffle': False, 'momentum': 0.8032871273383, 'nesterovs_momentum': False}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (11, 93, 160, 3), 'alpha': 0, 'max_iter': 116}","{'solver': 'adam', 'learning_rate_init': 0.5868183394157124, 'activation': 'logistic', 'hidden_layer_sizes': (174, 82, 19, 29, 30), 'alpha': 1.838276614960091, 'max_iter': 120, 'batch_size': 124, 'shuffle': False, 'beta_1': 0.020917148913890328, 'beta_2': 0.7646331662927034}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.848992445858882, 'activation': 'logistic', 'hidden_layer_sizes': (136, 2, 19, 14, 124), 'alpha': 0, 'max_iter': 288, 'batch_size': 74, 'shuffle': True, 'momentum': 0.35328798819880197, 'nesterovs_momentum': True}"
18,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (190, 130, 138, 168, 10), 'alpha': 0.5342910018701545, 'max_iter': 909}","{'solver': 'adam', 'learning_rate_init': 0.46698403066037997, 'activation': 'logistic', 'hidden_layer_sizes': (98, 174, 3), 'alpha': 3.9696684245558007, 'max_iter': 125, 'batch_size': 54, 'shuffle': True, 'beta_1': 0.30717742530833936, 'beta_2': 0.7388211285502195}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.7165377204308965, 'activation': 'logistic', 'hidden_layer_sizes': (53, 96, 157, 186, 192), 'alpha': 4.248575715656244, 'max_iter': 404, 'batch_size': 66, 'shuffle': False, 'momentum': 0.0925024156845921, 'nesterovs_momentum': False}"
19,"{'solver': 'lbfgs', 'activation': 'relu', 'hidden_layer_sizes': (71, 133, 15, 99), 'alpha': 4.09507629320498, 'max_iter': 37}","{'solver': 'adam', 'learning_rate_init': 0.011782624031223812, 'activation': 'relu', 'hidden_layer_sizes': (9, 62, 171, 124, 128), 'alpha': 0.8436273976104461, 'max_iter': 698, 'batch_size': 99, 'shuffle': True, 'beta_1': 0.39318905623384665, 'beta_2': 0.02513201559733919}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0528538211637677, 'activation': 'logistic', 'hidden_layer_sizes': (1, 172, 29), 'alpha': 0.6697049982381837, 'max_iter': 175, 'batch_size': 55, 'shuffle': True, 'momentum': 0.4705521620930532, 'nesterovs_momentum': False}"
20,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (9, 187, 66, 154), 'alpha': 0, 'max_iter': 737}","{'solver': 'adam', 'learning_rate_init': 0.06384127345161633, 'activation': 'logistic', 'hidden_layer_sizes': (101, 16, 121), 'alpha': 0, 'max_iter': 396, 'batch_size': 120, 'shuffle': False, 'beta_1': 0.5400944146304865, 'beta_2': 0.1110727299045231}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.45880082596577804, 'activation': 'logistic', 'hidden_layer_sizes': (132, 6, 32), 'alpha': 4.728067818886961, 'max_iter': 592, 'batch_size': 123, 'shuffle': True, 'momentum': 0.35575915645376754, 'nesterovs_momentum': False}"
21,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (120, 183, 35, 132, 87), 'alpha': 4.543172771625275, 'max_iter': 2}","{'solver': 'adam', 'learning_rate_init': 0.09838993917468519, 'activation': 'logistic', 'hidden_layer_sizes': (76, 1, 66, 170), 'alpha': 0, 'max_iter': 988, 'batch_size': 115, 'shuffle': True, 'beta_1': 0.28026541805248356, 'beta_2': 0.6956053127274496}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1524000593893324, 'activation': 'logistic', 'hidden_layer_sizes': (168, 85, 58, 1, 104), 'alpha': 0, 'max_iter': 173, 'batch_size': 52, 'shuffle': True, 'momentum': 0.052607948738692366, 'nesterovs_momentum': True}"
22,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (55, 2, 116), 'alpha': 4.503813676499736, 'max_iter': 332}","{'solver': 'adam', 'learning_rate_init': 0.21114279860670015, 'activation': 'logistic', 'hidden_layer_sizes': (136, 38, 40, 44), 'alpha': 0, 'max_iter': 784, 'batch_size': 54, 'shuffle': False, 'beta_1': 0.1148204564410292, 'beta_2': 0.4851140372945262}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3896504910381338, 'activation': 'logistic', 'hidden_layer_sizes': (150, 149, 178, 128, 99), 'alpha': 0, 'max_iter': 426, 'batch_size': 121, 'shuffle': False, 'momentum': 0.08363498774775581, 'nesterovs_momentum': True}"
23,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (33, 92, 145, 75, 130), 'alpha': 2.7781921570072323, 'max_iter': 232}","{'solver': 'adam', 'learning_rate_init': 0.8747091001764206, 'activation': 'relu', 'hidden_layer_sizes': (20, 6), 'alpha': 0, 'max_iter': 24, 'batch_size': 81, 'shuffle': False, 'beta_1': 0.3440587659159614, 'beta_2': 0.24999082924807908}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07274162990101267, 'activation': 'logistic', 'hidden_layer_sizes': (45, 40, 133, 8), 'alpha': 3.5251594584745, 'max_iter': 622, 'batch_size': 105, 'shuffle': True, 'momentum': 0.478547698716276, 'nesterovs_momentum': True}"
24,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (186, 27, 78, 187, 65), 'alpha': 0, 'max_iter': 548}","{'solver': 'adam', 'learning_rate_init': 0.28671664107794376, 'activation': 'relu', 'hidden_layer_sizes': (26, 192, 34, 65), 'alpha': 0, 'max_iter': 108, 'batch_size': 67, 'shuffle': True, 'beta_1': 0.2522164001188271, 'beta_2': 0.550772934691832}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4466561755707626, 'activation': 'logistic', 'hidden_layer_sizes': (11, 44, 4), 'alpha': 0, 'max_iter': 442, 'batch_size': 79, 'shuffle': False, 'momentum': 0.26991127579864516, 'nesterovs_momentum': True}"
25,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (32, 190, 84, 73), 'alpha': 4.8251852258398795, 'max_iter': 19}","{'solver': 'adam', 'learning_rate_init': 0.00016021847996169122, 'activation': 'relu', 'hidden_layer_sizes': (90,), 'alpha': 0, 'max_iter': 895, 'batch_size': 76, 'shuffle': False, 'beta_1': 0.1333892287457887, 'beta_2': 0.9965985723739793}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0100380292472493, 'activation': 'logistic', 'hidden_layer_sizes': (65, 8), 'alpha': 3.923429111247776, 'max_iter': 131, 'batch_size': 125, 'shuffle': False, 'momentum': 0.018979553055362388, 'nesterovs_momentum': False}"
26,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (38, 53, 160, 141), 'alpha': 2.49107727028663, 'max_iter': 554}","{'solver': 'adam', 'learning_rate_init': 1.5925082934083261, 'activation': 'logistic', 'hidden_layer_sizes': (84, 85), 'alpha': 2.1596405159162333, 'max_iter': 64, 'batch_size': 78, 'shuffle': True, 'beta_1': 0.7307549149166906, 'beta_2': 0.9313180303567484}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6373652489280796, 'activation': 'logistic', 'hidden_layer_sizes': (2, 118, 21), 'alpha': 2.5725267212288183, 'max_iter': 384, 'batch_size': 115, 'shuffle': True, 'momentum': 0.5560103574650296, 'nesterovs_momentum': False}"
27,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (61, 113, 157, 91), 'alpha': 2.1970686670982547, 'max_iter': 187}","{'solver': 'adam', 'learning_rate_init': 0.08476495652531034, 'activation': 'relu', 'hidden_layer_sizes': (96, 189), 'alpha': 4.505811221173401, 'max_iter': 948, 'batch_size': 73, 'shuffle': False, 'beta_1': 0.8827704319993279, 'beta_2': 0.9868116853355651}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.22209654651080943, 'activation': 'logistic', 'hidden_layer_sizes': (136, 108, 82, 32, 180), 'alpha': 4.315028820198176, 'max_iter': 798, 'batch_size': 79, 'shuffle': False, 'momentum': 0.10485743419043646, 'nesterovs_momentum': True}"
28,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (81, 15, 59, 193, 140), 'alpha': 0.6400814235537142, 'max_iter': 853}","{'solver': 'adam', 'learning_rate_init': 0.9242991283379828, 'activation': 'logistic', 'hidden_layer_sizes': (76, 1), 'alpha': 0, 'max_iter': 147, 'batch_size': 112, 'shuffle': False, 'beta_1': 0.48707848869295106, 'beta_2': 0.15656542789831135}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5879181430760856, 'activation': 'logistic', 'hidden_layer_sizes': (112, 53, 71, 131, 160), 'alpha': 0, 'max_iter': 29, 'batch_size': 64, 'shuffle': True, 'momentum': 0.44645085070509055, 'nesterovs_momentum': True}"
29,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (9, 192, 197, 15), 'alpha': 0, 'max_iter': 40}","{'solver': 'adam', 'learning_rate_init': 0.4547375486656524, 'activation': 'logistic', 'hidden_layer_sizes': (54, 174), 'alpha': 0, 'max_iter': 558, 'batch_size': 61, 'shuffle': True, 'beta_1': 0.07638857839403418, 'beta_2': 0.9683571117830804}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.505348207031925, 'activation': 'logistic', 'hidden_layer_sizes': (193, 174, 41, 149), 'alpha': 0.1958074978101138, 'max_iter': 548, 'batch_size': 90, 'shuffle': False, 'momentum': 0.02688772158558545, 'nesterovs_momentum': False}"
