,SLM (OLS),NEAT,SGA
0,58,22,191
1,12,26,59
2,55,6,27
3,154,13,103
4,327,6,27
5,207,39,53
6,89,6,53
7,15,24,59
8,18,13,27
9,85,13,191
10,1335,7,191
11,520,6,59
12,3590,6,53
13,26,49,103
14,68,15,103
15,75,13,53
16,241,11,59
17,229,23,103
18,64,6,59
19,153,18,27
20,18,6,53
21,75,6,27
22,2003,18,103
23,41,6,59
24,35,15,27
25,255,19,27
26,37,13,53
27,84,6,53
28,140,18,191
29,33,16,191
