,SLM Simple Ensemble,SLM Bagging Ensemble,SLM RIW Ensemble,SLM Boosting Ensemble (Median + FLR),SLM Boosting Ensemble (Median + RLR),SLM Boosting Ensemble (Mean + FLR),SLM Boosting Ensemble (Mean + RLR)
0,0.3678600473487636,0.36812799617561337,0.3674347149404152,0.3846845344521779,0.3745483350191589,0.386565767078502,0.37600893795103635
1,0.3914625756830193,0.39220239319246886,0.39175568544606193,0.4005371926451391,0.3956902161147466,0.4012460791515566,0.39683385245011965
2,0.38574427894788926,0.3888175279462669,0.38862433263536034,0.39982377685460185,0.3911804471724274,0.4039457196428273,0.39480808888544733
3,0.39186113724473287,0.39364326208555245,0.39305287602892147,0.4005170270033755,0.39324856356041643,0.40270591038399456,0.395480490688877
4,0.35050626689875025,0.3536860858232807,0.36024096708187986,0.3764410980103632,0.36612302341339703,0.38102408499705986,0.36777962430447764
5,0.3754292372101657,0.3767408903355871,0.3794606862986768,0.3874806609282732,0.3815341267914279,0.3944704985070159,0.3823492382976513
6,0.3758467348502779,0.37411926931410966,0.37384666909948644,0.3864262397349284,0.3791988464365677,0.3944285875419641,0.3855340214040159
7,0.37758831666485165,0.38243323221197034,0.3819548281552212,0.39959408165357463,0.38800599644392947,0.40103643870917205,0.39020370102539975
8,0.3827508751683044,0.3831416419722625,0.3831725074774636,0.3920202084430067,0.3879832354692925,0.3976704392360074,0.38870985631204685
9,0.38655442143035407,0.3865553916197973,0.3888845934765009,0.3929337153985532,0.38956933487079365,0.397363261520684,0.3919515863771959
10,0.37156758292983283,0.37347302267867893,0.375696637282846,0.38530618732228633,0.37647320387350175,0.3902885042750331,0.3794755484479966
11,0.37244923942926816,0.37325952177752025,0.377724358803569,0.3877889763396504,0.38071925085198716,0.39188852494043386,0.38118933038755937
12,0.39130312563707603,0.39145910438255477,0.3915488451675293,0.39879762851332284,0.39470218093263265,0.4052723550402576,0.396451237503556
13,0.39267391974306504,0.3941197297245811,0.3940203009348225,0.39742623743784905,0.39450475801358065,0.40162001440195555,0.39662797473435973
14,0.3873012141702789,0.388376592020009,0.3904537507294386,0.3912267123883505,0.38961009647183764,0.39805218667542486,0.3904148858321184
15,0.3817726442283116,0.381622221573492,0.38030350672609486,0.3943429442862804,0.3841659104636037,0.40062234321720464,0.3885491180496549
16,0.379341870481629,0.3804253654708151,0.380082654726969,0.39240774402185147,0.386001336952892,0.3943017726245801,0.38723461148117155
17,0.3689298305034837,0.3716735776248512,0.3754903458051303,0.3840468651491856,0.375968512826109,0.38530940201132036,0.38142685572576346
18,0.35130842014975516,0.35340722517168327,0.353555729143552,0.3747939897422702,0.36127978411354855,0.37911513100210964,0.3669382056782792
19,0.3883214019921632,0.38740488256297584,0.389900439185364,0.40371770256011713,0.39345919902383186,0.39969896021238144,0.3931615455134078
20,0.36146833731407785,0.36208825379946546,0.36782313705764763,0.3796244618335102,0.3688859160316727,0.38856590501755944,0.37253260347626876
21,0.3540923940119672,0.3565862268618792,0.3640552057395231,0.379442194292253,0.36225978854030827,0.3841777951270232,0.3683746125454707
22,0.4059872760714693,0.40769526945022994,0.40681734149283927,0.4443610153285582,0.4139730334827145,0.4195826715775382,0.4108102628618728
23,0.3896958265714019,0.39086246532839475,0.39172405709941444,0.3966754749851783,0.3921190752864229,0.4015722294224792,0.3922997830025656
24,0.3704193863653167,0.371501856700759,0.36996756969682315,0.38639061042251405,0.3771494864915451,0.3919933443720988,0.37900760424918867
25,0.39943091273338505,0.3987029232685063,0.3983824494522205,0.4040591648642647,0.40081843370624815,0.40200984471061824,0.39957223946475123
26,0.36243618665393607,0.3639711060905047,0.36930706588562867,0.3806618478645563,0.3726920462224127,0.38799626620906064,0.37262093875738805
27,0.3667000314723826,0.3669345295004455,0.3723429867403653,0.3865694709487858,0.37387630017083634,0.38846905020024247,0.37895399795875345
28,0.3754531764123777,0.3799079185556183,0.38028205242479085,0.4008940256078482,0.3869459999623808,0.3989102204270823,0.3853124574048129
29,0.39536003310782797,0.39368834120436086,0.39538793351497487,0.4024020713548969,0.3984775304748665,0.4031588877439778,0.3977795109132379
