,MLP Simple Ensemble,MLP Bagging Ensemble,MLP Boosting Ensemble (Median + FLR),MLP Boosting Ensemble (Median + RLR),MLP Boosting Ensemble (Mean + FLR),MLP Boosting Ensemble (Mean + RLR)
0,0.8084886128364389,0.8799171842650103,0.8933747412008282,0.8964803312629399,0.8944099378881988,0.9026915113871635
1,0.8136645962732919,0.8198757763975155,0.8167701863354038,0.8240165631469979,0.8178053830227743,0.8291925465838509
2,0.8033126293995859,0.8146997929606625,0.8209109730848861,0.8157349896480331,0.8188405797101449,0.8198757763975155
3,0.777432712215321,0.7784679089026915,0.7681159420289855,0.7888198757763976,0.7701863354037267,0.7753623188405797
4,0.8985507246376812,0.8933747412008282,0.8737060041407867,0.9389233954451346,0.8964803312629399,0.9078674948240165
5,0.7939958592132506,0.7929606625258799,0.7939958592132506,0.7908902691511387,0.7960662525879917,0.7898550724637681
6,0.6997929606625258,0.6997929606625258,0.6997929606625258,0.6997929606625258,0.6997929606625258,0.6997929606625258
7,0.7877846790890269,0.7950310559006211,0.7867494824016563,0.7971014492753623,0.7981366459627329,0.7991718426501035
8,0.7971014492753623,0.8053830227743272,0.8084886128364389,0.8074534161490683,0.8105590062111802,0.8115942028985508
9,0.7939958592132506,0.7971014492753623,0.8012422360248447,0.8012422360248447,0.7991718426501035,0.8002070393374742
10,0.7766287487073423,0.7797311271975181,0.7683557394002068,0.7786970010341262,0.7745604963805585,0.7776628748707343
11,0.7683557394002068,0.7714581178903827,0.7766287487073423,0.7735263702171665,0.7859358841778697,0.7828335056876939
12,0.8076525336091003,0.8335056876938987,0.8231644260599793,0.7900723888314375,0.8397104446742503,0.8386763185108583
13,0.7911065149948294,0.795243019648397,0.8035160289555325,0.7973112719751809,0.8086866597724922,0.8024819027921406
14,0.7993795243019648,0.8293691830403309,0.8397104446742503,0.8304033092037229,0.8376421923474664,0.8376421923474664
15,0.8190279214064116,0.843846949327818,0.8479834539813857,0.8490175801447777,0.8479834539813857,0.8479834539813857
16,0.796277145811789,0.8086866597724922,0.8148914167528438,0.811789038262668,0.8148914167528438,0.8200620475698035
17,0.781799379524302,0.796277145811789,0.7911065149948294,0.796277145811789,0.7931747673216132,0.7983453981385729
18,0.9193381592554292,0.9451913133402275,0.9462254395036195,0.9462254395036195,0.9462254395036195,0.9472595656670114
19,0.7880041365046536,0.7880041365046536,0.7828335056876939,0.7869700103412617,0.7859358841778697,0.781799379524302
20,0.7859358841778697,0.7880041365046536,0.7745604963805585,0.7559462254395036,0.7869700103412617,0.7786970010341262
21,0.8076525336091003,0.9720785935884177,0.9307135470527405,0.9462254395036195,0.9627714581178903,0.9700103412616339
22,0.7838676318510859,0.7838676318510859,0.7880041365046536,0.7869700103412617,0.7849017580144778,0.7890382626680456
23,0.7900723888314375,0.8024819027921406,0.8304033092037229,0.8014477766287487,0.8169596690796277,0.8210961737331954
24,0.7528438469493278,0.7528438469493278,0.7559462254395036,0.7714581178903827,0.7693898655635988,0.7714581178903827
25,0.9038262668045501,0.8655635987590486,0.7724922440537746,0.8531540847983454,0.8552223371251293,0.8717683557394003
26,1.0,0.9979317476732161,0.9813857290589452,0.9896587383660806,0.9875904860392968,0.9927611168562565
27,0.7249224405377456,0.7083764219234746,0.7269906928645294,0.7228541882109617,0.7290589451913133,0.7373319544984488
28,0.8883143743536711,0.9089968976215098,0.922440537745605,0.9110651499482937,0.9234746639089969,0.921406411582213
29,0.8200620475698035,0.8490175801447777,0.8490175801447777,0.8417786970010341,0.8510858324715616,0.8448810754912099
