,mlp
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (74, 4), 'alpha': 2.480093001706021, 'max_iter': 293}"
1,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (6, 50, 10), 'alpha': 3.197897929827157, 'max_iter': 15}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.43232018663354876, 'activation': 'relu', 'hidden_layer_sizes': (26,), 'alpha': 4.896579550355592, 'max_iter': 729, 'batch_size': 432, 'shuffle': False, 'momentum': 0.17975094359934107, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.043317442978687205, 'activation': 'tanh', 'hidden_layer_sizes': (127,), 'alpha': 3.5197871972162815, 'max_iter': 933, 'batch_size': 114, 'shuffle': False, 'momentum': 0.850507813650057, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11023354661394041, 'activation': 'relu', 'hidden_layer_sizes': (167, 92, 199, 134, 48), 'alpha': 0, 'max_iter': 403, 'batch_size': 845, 'shuffle': False, 'momentum': 0.9119978107976463, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.13892021600408247, 'activation': 'tanh', 'hidden_layer_sizes': (23,), 'alpha': 4.99126381813645, 'max_iter': 925, 'batch_size': 820, 'shuffle': True, 'momentum': 0.19632573119264796, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2567531224885926, 'activation': 'logistic', 'hidden_layer_sizes': (172, 122), 'alpha': 1.1332876259896831, 'max_iter': 705, 'batch_size': 481, 'shuffle': False, 'momentum': 0.34161508370867566, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 0.030422513411103847, 'activation': 'relu', 'hidden_layer_sizes': (79,), 'alpha': 4.53611109854384, 'max_iter': 245, 'batch_size': 221, 'shuffle': True, 'beta_1': 0.5657497006094847, 'beta_2': 0.09971876744253419}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (107,), 'alpha': 4.244193213605098, 'max_iter': 879}"
9,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (146,), 'alpha': 4.608242429348502, 'max_iter': 648}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.019084364720917093, 'activation': 'logistic', 'hidden_layer_sizes': (97,), 'alpha': 2.263033255994273, 'max_iter': 627, 'batch_size': 363, 'shuffle': True, 'momentum': 0.767451235181426, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5973771176901093, 'activation': 'tanh', 'hidden_layer_sizes': (145,), 'alpha': 4.509701487600345, 'max_iter': 858, 'batch_size': 172, 'shuffle': False, 'momentum': 0.7473249829272044, 'nesterovs_momentum': True}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7434146458925341, 'activation': 'relu', 'hidden_layer_sizes': (114, 152, 28, 94), 'alpha': 4.193471381795463, 'max_iter': 38, 'batch_size': 173, 'shuffle': False, 'momentum': 0.2734229751791398, 'nesterovs_momentum': False}"
13,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (8, 171), 'alpha': 2.6648406676521295, 'max_iter': 53}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6834216461114473, 'activation': 'tanh', 'hidden_layer_sizes': (94,), 'alpha': 3.9406157793121075, 'max_iter': 594, 'batch_size': 330, 'shuffle': True, 'momentum': 0.22731439662891204, 'nesterovs_momentum': False}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4019878626219771, 'activation': 'tanh', 'hidden_layer_sizes': (103, 165), 'alpha': 2.8708216261958817, 'max_iter': 96, 'batch_size': 574, 'shuffle': False, 'momentum': 0.029426176207956473, 'nesterovs_momentum': True}"
16,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (43,), 'alpha': 4.405945752557057, 'max_iter': 959}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (164,), 'alpha': 4.88881674959238, 'max_iter': 195}"
18,"{'solver': 'adam', 'learning_rate_init': 0.035227526476203634, 'activation': 'tanh', 'hidden_layer_sizes': (7, 4, 102), 'alpha': 2.9666857045918813, 'max_iter': 970, 'batch_size': 567, 'shuffle': True, 'beta_1': 0.8358275399018441, 'beta_2': 0.9199416182000212}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2256106475794347, 'activation': 'logistic', 'hidden_layer_sizes': (42,), 'alpha': 0.5513110194447409, 'max_iter': 223, 'batch_size': 123, 'shuffle': False, 'momentum': 0.11347977972982633, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.717929050488418, 'activation': 'tanh', 'hidden_layer_sizes': (65, 132, 140), 'alpha': 4.454819606291407, 'max_iter': 17, 'batch_size': 847, 'shuffle': True, 'momentum': 0.058292023720509574, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4638831259657758, 'activation': 'logistic', 'hidden_layer_sizes': (35,), 'alpha': 0, 'max_iter': 890, 'batch_size': 291, 'shuffle': False, 'momentum': 0.03170585630785807, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.047421297338217656, 'activation': 'tanh', 'hidden_layer_sizes': (80, 177, 74), 'alpha': 2.837047715869807, 'max_iter': 214, 'batch_size': 235, 'shuffle': True, 'momentum': 0.15999862155792463, 'nesterovs_momentum': False}"
23,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (54, 142), 'alpha': 4.0503764359983565, 'max_iter': 342}"
