,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (74, 4), 'alpha': 2.480093001706021, 'max_iter': 293}","{'solver': 'adam', 'learning_rate_init': 1.5768425640531465, 'activation': 'logistic', 'hidden_layer_sizes': (66,), 'alpha': 0, 'max_iter': 928, 'batch_size': 339, 'shuffle': True, 'beta_1': 0.5423224237765917, 'beta_2': 0.5166270269939668}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03333837709937933, 'activation': 'logistic', 'hidden_layer_sizes': (3,), 'alpha': 0, 'max_iter': 777, 'batch_size': 229, 'shuffle': False, 'momentum': 0.5618857713575559, 'nesterovs_momentum': True}"
1,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (6, 50, 10), 'alpha': 3.197897929827157, 'max_iter': 15}","{'solver': 'adam', 'learning_rate_init': 0.17077265058608576, 'activation': 'relu', 'hidden_layer_sizes': (136,), 'alpha': 3.902024773369263, 'max_iter': 445, 'batch_size': 353, 'shuffle': False, 'beta_1': 0.8519086117565525, 'beta_2': 0.9961727140160027}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.35385700572121054, 'activation': 'relu', 'hidden_layer_sizes': (75, 71, 85), 'alpha': 0, 'max_iter': 995, 'batch_size': 682, 'shuffle': True, 'momentum': 0.8352895236777053, 'nesterovs_momentum': False}"
2,"{'solver': 'lbfgs', 'activation': 'relu', 'hidden_layer_sizes': (91,), 'alpha': 0, 'max_iter': 4}","{'solver': 'adam', 'learning_rate_init': 0.475130214896108, 'activation': 'logistic', 'hidden_layer_sizes': (161,), 'alpha': 0, 'max_iter': 817, 'batch_size': 849, 'shuffle': True, 'beta_1': 0.22343548820367629, 'beta_2': 0.09012961035829559}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.43232018663354876, 'activation': 'relu', 'hidden_layer_sizes': (26,), 'alpha': 4.896579550355592, 'max_iter': 729, 'batch_size': 432, 'shuffle': False, 'momentum': 0.17975094359934107, 'nesterovs_momentum': False}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (77, 56, 127), 'alpha': 0, 'max_iter': 45}","{'solver': 'adam', 'learning_rate_init': 0.07566427862506733, 'activation': 'relu', 'hidden_layer_sizes': (180, 172, 186, 41, 48), 'alpha': 0, 'max_iter': 180, 'batch_size': 155, 'shuffle': True, 'beta_1': 0.2461066828138715, 'beta_2': 0.5866232353818267}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.043317442978687205, 'activation': 'tanh', 'hidden_layer_sizes': (127,), 'alpha': 3.5197871972162815, 'max_iter': 933, 'batch_size': 114, 'shuffle': False, 'momentum': 0.850507813650057, 'nesterovs_momentum': False}"
4,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (83,), 'alpha': 3.394338948058331, 'max_iter': 906}","{'solver': 'adam', 'learning_rate_init': 0.025751769527251594, 'activation': 'tanh', 'hidden_layer_sizes': (90, 39, 4, 53, 50), 'alpha': 4.826010099212212, 'max_iter': 694, 'batch_size': 376, 'shuffle': True, 'beta_1': 0.7265411370142636, 'beta_2': 0.8201366815860617}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11023354661394041, 'activation': 'relu', 'hidden_layer_sizes': (167, 92, 199, 134, 48), 'alpha': 0, 'max_iter': 403, 'batch_size': 845, 'shuffle': False, 'momentum': 0.9119978107976463, 'nesterovs_momentum': True}"
5,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (138,), 'alpha': 4.726050396543976, 'max_iter': 595}","{'solver': 'adam', 'learning_rate_init': 0.0046578547071942115, 'activation': 'relu', 'hidden_layer_sizes': (147, 179, 6, 117, 14), 'alpha': 0, 'max_iter': 551, 'batch_size': 557, 'shuffle': True, 'beta_1': 0.1313652379579885, 'beta_2': 0.6296319940173809}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.13892021600408247, 'activation': 'tanh', 'hidden_layer_sizes': (23,), 'alpha': 4.99126381813645, 'max_iter': 925, 'batch_size': 820, 'shuffle': True, 'momentum': 0.19632573119264796, 'nesterovs_momentum': True}"
6,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (139,), 'alpha': 3.50958375321452, 'max_iter': 452}","{'solver': 'adam', 'learning_rate_init': 0.10130569005723727, 'activation': 'tanh', 'hidden_layer_sizes': (141, 58, 13), 'alpha': 0, 'max_iter': 545, 'batch_size': 535, 'shuffle': True, 'beta_1': 0.6258254449800136, 'beta_2': 0.7269810972414413}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2567531224885926, 'activation': 'logistic', 'hidden_layer_sizes': (172, 122), 'alpha': 1.1332876259896831, 'max_iter': 705, 'batch_size': 481, 'shuffle': False, 'momentum': 0.34161508370867566, 'nesterovs_momentum': True}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (87, 176), 'alpha': 3.8485300765708375, 'max_iter': 679}","{'solver': 'adam', 'learning_rate_init': 0.030422513411103847, 'activation': 'relu', 'hidden_layer_sizes': (79,), 'alpha': 4.53611109854384, 'max_iter': 245, 'batch_size': 221, 'shuffle': True, 'beta_1': 0.5657497006094847, 'beta_2': 0.09971876744253419}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3211418979956705, 'activation': 'relu', 'hidden_layer_sizes': (45,), 'alpha': 1.1486361920957076, 'max_iter': 327, 'batch_size': 126, 'shuffle': True, 'momentum': 0.7433002621933481, 'nesterovs_momentum': False}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (107,), 'alpha': 4.244193213605098, 'max_iter': 879}","{'solver': 'adam', 'learning_rate_init': 0.16841676457043306, 'activation': 'relu', 'hidden_layer_sizes': (6,), 'alpha': 2.4444869559770117, 'max_iter': 822, 'batch_size': 806, 'shuffle': False, 'beta_1': 0.3217483875639067, 'beta_2': 0.23480796174911603}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8253477968949557, 'activation': 'relu', 'hidden_layer_sizes': (200, 126, 91), 'alpha': 2.4833294725611403, 'max_iter': 958, 'batch_size': 728, 'shuffle': True, 'momentum': 0.24257598332831867, 'nesterovs_momentum': True}"
9,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (146,), 'alpha': 4.608242429348502, 'max_iter': 648}","{'solver': 'adam', 'learning_rate_init': 0.9976000696178939, 'activation': 'logistic', 'hidden_layer_sizes': (26,), 'alpha': 2.7534796942658213, 'max_iter': 915, 'batch_size': 382, 'shuffle': True, 'beta_1': 0.7878216926493732, 'beta_2': 0.6385472830745029}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0043845700311698444, 'activation': 'logistic', 'hidden_layer_sizes': (88,), 'alpha': 0, 'max_iter': 746, 'batch_size': 310, 'shuffle': True, 'momentum': 0.9922708059239813, 'nesterovs_momentum': False}"
