,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,0.40028103481879507,0.3668726456200644,0.44126577343992324,0.3744756147356254
1,0.39297863432465846,0.3940223340097799,0.4431312676614894,0.353965388254235
2,0.4095323697055642,0.39060394147369354,0.3831175220834029,0.4057507740442064
3,0.4424547878309717,0.3818180688032497,0.4038911458514474,0.3037007398006016
4,0.3883285107461107,0.34777318889687486,0.4442368670529652,0.30079329131405225
5,0.4340083418445266,0.3809129450969629,0.4429738923291185,0.30120910695502245
6,0.4432280848673484,0.3818549264435736,0.4390300879627289,0.3917261091748578
7,0.4568212711980746,0.4022744272714452,0.36680986361913015,0.429871439491793
8,0.3870238797159882,0.3887208278383481,0.4487207975676309,0.3400779646032222
9,0.4186986559913666,0.3913427047266449,0.40590986106973426,0.41762487872542103
10,0.4132887608859673,0.3739427158646292,0.40711283179823887,0.4164805949289714
11,0.43841390416213155,0.3760525433876554,0.4422985921874472,0.3134268583083491
12,0.4209024403363992,0.40056936729930187,0.42665338891855337,0.3056483784135789
13,0.421594836558079,0.40800109763172343,0.41783760601265146,0.30263747226464544
14,0.4426547325606019,0.3974347564360186,0.4144501540972247,0.32925685724200393
15,0.4318205925394838,0.3929779234239827,0.44200038392649904,0.3328226336498304
16,0.4397384070652652,0.38400204596767923,0.4328466423246047,0.3036287283695928
17,0.3844619298076622,0.37679549502236404,0.40521852255068413,0.3614249826087342
18,0.40287538982517984,0.355881961747804,0.4121347970418463,0.3042796975811654
19,0.4204195142675932,0.3948700028217494,0.41063129854123365,0.3062640370130752
20,0.4042277084291377,0.3592850129253556,0.410990376909063,0.3208297227019059
21,0.42368860074158476,0.3559979442541163,0.40893137103586574,0.34253053896606495
22,0.38685824999613483,0.37974494364940875,0.40620845437559877,0.37362270526943003
23,0.4083222703593581,0.3986270073106651,0.4387493283295501,0.31258274382316475
24,0.4528793083416682,0.3730216292673871,0.3947305473260652,0.432111076191199
25,0.39793824391375415,0.36641269378064645,0.41400855408139337,0.30016038014393187
26,0.42844043927685266,0.3586334747387138,0.399611575383309,0.3096548509242147
27,0.41103508968794006,0.36739887373750774,0.40300722914610126,0.41272263142121285
28,0.44567208160147925,0.3709386231300405,0.3679346030160302,0.4203764859498424
29,0.3973660593642649,0.36777351443212575,0.394215853792012,0.3970634511970385
