,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2642765315897064, 'activation': 'logistic', 'hidden_layer_sizes': (157,), 'alpha': 0.12413476672495066, 'max_iter': 396, 'batch_size': 3047, 'shuffle': False, 'momentum': 0.9760723010387182, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.12106887433790085, 'activation': 'relu', 'hidden_layer_sizes': (152,), 'alpha': 7.997765206015638, 'max_iter': 409, 'batch_size': 3037, 'shuffle': True, 'momentum': 0.5068574607241922, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.924144603338158, 'activation': 'logistic', 'hidden_layer_sizes': (3,), 'alpha': 4.730176668303031, 'max_iter': 65, 'batch_size': 2318, 'shuffle': False, 'momentum': 0.501876224288498, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4868331286584725, 'activation': 'relu', 'hidden_layer_sizes': (83,), 'alpha': 3.559586530178103, 'max_iter': 343, 'batch_size': 1041, 'shuffle': True, 'momentum': 0.305000572080204, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3051866465134363, 'activation': 'relu', 'hidden_layer_sizes': (28, 62, 123, 178, 127), 'alpha': 3.417886570932611, 'max_iter': 94, 'batch_size': 3828, 'shuffle': True, 'momentum': 0.3031783727464268, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.202367358567876, 'activation': 'relu', 'hidden_layer_sizes': (87,), 'alpha': 8.018637943302874, 'max_iter': 257, 'batch_size': 1193, 'shuffle': False, 'momentum': 0.7582137488507755, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.12400491173090482, 'activation': 'relu', 'hidden_layer_sizes': (126, 120, 63, 114, 178), 'alpha': 6.4012468316880105, 'max_iter': 163, 'batch_size': 1200, 'shuffle': False, 'momentum': 0.31170953402043705, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.276013409394166, 'activation': 'logistic', 'hidden_layer_sizes': (17,), 'alpha': 8.683449936289675, 'max_iter': 198, 'batch_size': 2358, 'shuffle': False, 'momentum': 0.3091887690462438, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4156145451495941, 'activation': 'logistic', 'hidden_layer_sizes': (186, 161), 'alpha': 5.5317968195137865, 'max_iter': 99, 'batch_size': 1548, 'shuffle': True, 'momentum': 0.011592085778389867, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5359995589478008, 'activation': 'relu', 'hidden_layer_sizes': (112,), 'alpha': 7.409055440043134, 'max_iter': 132, 'batch_size': 2681, 'shuffle': False, 'momentum': 0.14898922754096647, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.26691231648983, 'activation': 'tanh', 'hidden_layer_sizes': (88, 188, 175, 87), 'alpha': 4.3650001465103285, 'max_iter': 350, 'batch_size': 3818, 'shuffle': True, 'momentum': 0.7457046018154815, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1336041526348905, 'activation': 'relu', 'hidden_layer_sizes': (71,), 'alpha': 1.2166327975826767, 'max_iter': 401, 'batch_size': 3271, 'shuffle': True, 'momentum': 0.26508556911027426, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17881111530721805, 'activation': 'tanh', 'hidden_layer_sizes': (173, 53, 198), 'alpha': 7.560495718460899, 'max_iter': 240, 'batch_size': 3317, 'shuffle': True, 'momentum': 0.9543615612452195, 'nesterovs_momentum': True}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.13542391044909385, 'activation': 'relu', 'hidden_layer_sizes': (65, 101, 172), 'alpha': 2.4585986445679033, 'max_iter': 41, 'batch_size': 3705, 'shuffle': True, 'momentum': 0.3591257369050546, 'nesterovs_momentum': False}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6828931128473597, 'activation': 'logistic', 'hidden_layer_sizes': (180, 158, 44), 'alpha': 5.096536008746318, 'max_iter': 332, 'batch_size': 2869, 'shuffle': True, 'momentum': 0.46025198407996853, 'nesterovs_momentum': True}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5683258010622231, 'activation': 'tanh', 'hidden_layer_sizes': (197,), 'alpha': 0.14984344951377432, 'max_iter': 228, 'batch_size': 816, 'shuffle': False, 'momentum': 0.20504145460367845, 'nesterovs_momentum': True}"
