,MLP (ADAM)
0,0.660487613385895
1,0.19512412126063444
2,0.43306693940477436
3,0.41719668993805403
4,0.786868182812728
5,0.7976794679736502
6,0.7405167138737081
7,0.47546891783949563
8,0.8379965097912263
9,0.9727387756412829
10,0.548768667324225
11,0.6754416777688607
12,0.7910265627686197
13,0.8908722817494801
14,0.49436338772785937
15,0.241556702194121
16,0.30610051522107057
17,0.7372561908448816
18,0.7527579063276844
19,0.2921598108221646
20,0.4227216259291003
21,0.2176139593707457
22,0.3416539581932369
23,0.2500771937238176
24,0.6687342494769083
25,0.16428430194790167
26,0.520840065943187
27,0.08276597418765058
28,0.3956348484066549
29,0.2585909486617025
