,MLP (ADAM)
0,0.7783469682161095
1,0.3913000297772535
2,0.331065548749235
3,0.2608818901644421
4,0.8892195249795884
5,0.8558593300162674
6,0.17320323854386646
7,0.7579843768867388
8,0.47940970963428775
9,0.4813965325866457
10,0.34274993271021875
11,0.26615890012504867
12,0.8049318897619044
13,0.8378032041145114
14,0.4934698588621815
15,0.8962986133891631
16,0.971854734199862
17,0.3605607694542043
18,0.5402351436681335
19,0.5108856465992481
20,0.7751594605805993
21,0.9862945042641441
22,0.3946919158931959
23,0.7980419350437692
24,0.7289696517706652
25,0.3206688246965685
26,0.08176469648680722
27,0.6894237898054127
28,0.2703514957698215
29,0.5139952010211117
