,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.39353592778468083, 'activation': 'relu', 'hidden_layer_sizes': (12, 97), 'alpha': 0.9243063610740536, 'max_iter': 146, 'batch_size': 692, 'shuffle': True, 'momentum': 0.824862998137239, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08776808418377087, 'activation': 'relu', 'hidden_layer_sizes': (14, 194, 162, 187), 'alpha': 4.719220479853527, 'max_iter': 216, 'batch_size': 121, 'shuffle': True, 'momentum': 0.5103524672616193, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0293292221119712, 'activation': 'tanh', 'hidden_layer_sizes': (4,), 'alpha': 1.0189924438165106, 'max_iter': 434, 'batch_size': 725, 'shuffle': True, 'momentum': 0.040737235092140174, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9185228398999024, 'activation': 'tanh', 'hidden_layer_sizes': (37, 98), 'alpha': 3.6411354185937834, 'max_iter': 336, 'batch_size': 807, 'shuffle': True, 'momentum': 0.23238465661669386, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.344096630433257, 'activation': 'tanh', 'hidden_layer_sizes': (135, 162), 'alpha': 3.265473219076528, 'max_iter': 341, 'batch_size': 802, 'shuffle': True, 'momentum': 0.033222878747657475, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6674866181761715, 'activation': 'tanh', 'hidden_layer_sizes': (78, 42), 'alpha': 2.88289779763951, 'max_iter': 216, 'batch_size': 330, 'shuffle': True, 'momentum': 0.6820869754822478, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19914201584007243, 'activation': 'tanh', 'hidden_layer_sizes': (37, 170), 'alpha': 0.4667029107129903, 'max_iter': 315, 'batch_size': 164, 'shuffle': False, 'momentum': 0.9853732156194297, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.16062403801863745, 'activation': 'tanh', 'hidden_layer_sizes': (92, 85), 'alpha': 4.571502922688725, 'max_iter': 436, 'batch_size': 189, 'shuffle': True, 'momentum': 0.3821933962015477, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.377734972749145, 'activation': 'logistic', 'hidden_layer_sizes': (1,), 'alpha': 1.0016841534258836, 'max_iter': 384, 'batch_size': 596, 'shuffle': False, 'momentum': 0.2652603668296475, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.104445605561457, 'activation': 'relu', 'hidden_layer_sizes': (83, 121, 181), 'alpha': 9.836799724574641, 'max_iter': 332, 'batch_size': 1410, 'shuffle': False, 'momentum': 0.6590599327536425, 'nesterovs_momentum': True}"
