,MLP (ADAM)
0,0.9188311783117609
1,0.10161670992878119
2,0.13082518510320576
3,0.5576500702581909
4,0.0778628011168387
5,0.890756392702816
6,0.8934930952136106
7,0.8513772163042169
8,0.10609088205000951
9,0.32370193458204893
10,0.9093735068021547
11,0.4923897864157374
12,0.6981814069069834
13,0.29090087118729646
14,0.44137655419517324
15,0.44348967577052295
16,0.6277422913877185
17,0.40789892761791624
18,0.024164858018777515
19,0.14870786909177036
20,0.6923531654202857
21,0.08665850165951362
22,0.09345050941355279
23,0.014273534833217525
24,0.4015387195913103
25,0.8790266874308023
26,0.9577072071291745
27,0.3187025151854364
28,0.9072854469937863
29,0.8928976363655386
