,MLP (ADAM)
0,0.2146960039596928
1,0.7314287987720868
2,0.3663716569677699
3,0.7837811815034048
4,0.1442134380606247
5,0.27679492303882364
6,0.2583936340347496
7,0.14198608158332032
8,0.21924325643846806
9,0.29196999329641704
10,0.8281386874184982
11,0.8466976759548053
12,0.02907170667170666
13,0.6365374689099964
14,0.8206305165182984
15,0.2367813977122668
16,0.1257560210882823
17,0.03524645782634839
18,0.9651365557019527
19,0.3392769420410772
20,0.2314111233285418
21,0.3506780010932911
22,0.8378735274005299
23,0.8640825526341321
24,0.7667753068318007
25,0.34997671513207695
26,0.30148177953039834
27,0.4964324142822038
28,0.5268935384552266
29,0.28520213716660875
