,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.7218476967552387, 'activation': 'tanh', 'hidden_layer_sizes': (160,), 'alpha': 8.499065144708045, 'max_iter': 28, 'batch_size': 80, 'shuffle': False, 'momentum': 0.665493077182224, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.28746460849278677, 'activation': 'relu', 'hidden_layer_sizes': (49, 191), 'alpha': 8.848550747360067, 'max_iter': 488, 'batch_size': 101, 'shuffle': False, 'momentum': 0.7104060953313834, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.7488565848291886, 'activation': 'relu', 'hidden_layer_sizes': (158, 142), 'alpha': 2.1582554135460836, 'max_iter': 437, 'batch_size': 99, 'shuffle': False, 'momentum': 0.18023185171027728, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.28431119589451914, 'activation': 'tanh', 'hidden_layer_sizes': (160,), 'alpha': 3.813290571554053, 'max_iter': 492, 'batch_size': 142, 'shuffle': False, 'momentum': 0.7620049455176457, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.952779621712158, 'activation': 'relu', 'hidden_layer_sizes': (134, 107), 'alpha': 1.8981334245356265, 'max_iter': 332, 'batch_size': 99, 'shuffle': True, 'momentum': 0.269280880906449, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.169646382488268, 'activation': 'logistic', 'hidden_layer_sizes': (1,), 'alpha': 0.2645137811610838, 'max_iter': 209, 'batch_size': 152, 'shuffle': True, 'momentum': 0.7289088089826141, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4517118249027288, 'activation': 'relu', 'hidden_layer_sizes': (121, 73), 'alpha': 0.38221328110318964, 'max_iter': 397, 'batch_size': 143, 'shuffle': True, 'momentum': 0.1616239055708194, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4352233882875108, 'activation': 'tanh', 'hidden_layer_sizes': (103, 81, 148, 149, 3), 'alpha': 3.812611361711422, 'max_iter': 316, 'batch_size': 91, 'shuffle': False, 'momentum': 0.5272729460955435, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1769782408507948, 'activation': 'relu', 'hidden_layer_sizes': (70, 130, 12, 137), 'alpha': 1.3534399767123217, 'max_iter': 224, 'batch_size': 54, 'shuffle': True, 'momentum': 0.5871840059458637, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.189092862375901, 'activation': 'relu', 'hidden_layer_sizes': (6, 145, 138), 'alpha': 3.935688049364254, 'max_iter': 243, 'batch_size': 85, 'shuffle': False, 'momentum': 0.9421633408705273, 'nesterovs_momentum': False}"
