,SLM
0,0.8461538461538461
1,0.8431952662721893
2,0.8224852071005917
3,0.7781065088757396
4,0.8520710059171598
5,0.8431952662721893
6,0.7463126843657817
7,0.8141592920353983
8,0.7581120943952803
9,0.8584070796460177
10,0.8377581120943953
11,0.8082595870206489
12,0.7935103244837758
13,0.8761061946902655
14,0.799410029498525
15,0.8264705882352941
16,0.8323529411764706
17,0.8411764705882353
18,0.8411764705882353
19,0.7941176470588235
20,0.7323529411764705
21,0.6823529411764706
22,0.7852941176470588
23,0.7764705882352941
24,0.8205882352941176
25,0.8823529411764706
26,0.7529411764705882
27,0.8029411764705883
28,0.8411764705882353
29,0.8705882352941177
