,SLM
0,0.861271676300578
1,0.8563218390804598
2,0.861271676300578
3,0.861271676300578
4,0.8563218390804598
5,0.8620689655172413
6,0.8571428571428571
7,0.8620689655172413
8,0.8620689655172413
9,0.8620689655172413
10,0.8620689655172413
11,0.8620689655172413
12,0.8620689655172413
13,0.867816091954023
14,0.8620689655172413
15,0.8620689655172413
16,0.8620689655172413
17,0.8571428571428571
18,0.8620689655172413
19,0.8620689655172413
20,0.8620689655172413
21,0.8620689655172413
22,0.8620689655172413
23,0.8620689655172413
24,0.8742857142857143
25,0.8620689655172413
26,0.8620689655172413
27,0.8620689655172413
28,0.8620689655172413
29,0.8620689655172413
