,MLP (ADAM),MLP (SGD)
0,32,460
1,121,289
2,61,126
3,31,180
4,419,367
5,126,214
6,47,350
7,247,341
8,185,253
9,101,293
10,86,393
11,319,274
12,14,62
13,347,383
14,357,466
15,131,242
16,49,253
17,44,387
18,115,486
19,154,457
20,39,300
21,128,134
22,168,284
23,323,211
24,91,92
25,492,197
26,209,220
27,442,97
28,331,350
29,304,98
