,MLP (ADAM)
0,0.9431197113781233
1,0.6014678809706243
2,0.3903449325394926
3,0.30984522718441926
4,0.3833534206365564
5,0.8844918016828782
6,0.5523319119485708
7,0.6423768161102307
8,0.3168331616626494
9,0.42997795407095135
10,0.3392407424495431
11,0.24460809956199758
12,0.20321620136733198
13,0.4048779047386893
14,0.006791806314832351
15,0.0769549234750161
16,0.48367360976520524
17,0.4878819145648517
18,0.42722870973340465
19,0.1344281037686789
20,0.4574685376143238
21,0.7405047987709856
22,0.3654455024942414
23,0.784852458891043
24,0.12335962330895126
25,0.7196582340051283
26,0.4634649773090192
27,0.4297763496652707
28,0.2661373323123226
29,0.5853597052033958
