,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.051749892559992, 'activation': 'relu', 'hidden_layer_sizes': (181, 161, 191), 'alpha': 1.4579959358055083, 'max_iter': 300, 'batch_size': 81, 'shuffle': False, 'momentum': 0.8734526308130199, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.339159749348722, 'activation': 'logistic', 'hidden_layer_sizes': (192, 19, 71), 'alpha': 1.3743741301542374, 'max_iter': 134, 'batch_size': 87, 'shuffle': True, 'momentum': 0.5819500674125435, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.57874310951947, 'activation': 'logistic', 'hidden_layer_sizes': (96, 171, 181), 'alpha': 6.04183505562811, 'max_iter': 284, 'batch_size': 81, 'shuffle': False, 'momentum': 0.8861684268250504, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.080336709397109, 'activation': 'relu', 'hidden_layer_sizes': (42, 94, 129), 'alpha': 2.1625199481474264, 'max_iter': 211, 'batch_size': 75, 'shuffle': False, 'momentum': 0.41501686479537736, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.832877953560898, 'activation': 'logistic', 'hidden_layer_sizes': (125, 152, 51, 55), 'alpha': 2.2129166664292357, 'max_iter': 92, 'batch_size': 55, 'shuffle': True, 'momentum': 0.499820136642897, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.2679038078520275, 'activation': 'relu', 'hidden_layer_sizes': (108, 151, 116), 'alpha': 9.621320244517486, 'max_iter': 197, 'batch_size': 69, 'shuffle': False, 'momentum': 0.4096797048907805, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.043489356881448, 'activation': 'logistic', 'hidden_layer_sizes': (193, 78, 29, 167, 193), 'alpha': 5.247273774597217, 'max_iter': 220, 'batch_size': 61, 'shuffle': False, 'momentum': 0.16971379632339928, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.312833561321005, 'activation': 'relu', 'hidden_layer_sizes': (61, 188, 126, 183), 'alpha': 6.582422385902451, 'max_iter': 97, 'batch_size': 81, 'shuffle': False, 'momentum': 0.1242808204643291, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.907713420971321, 'activation': 'tanh', 'hidden_layer_sizes': (1, 153, 19), 'alpha': 6.403670550935882, 'max_iter': 350, 'batch_size': 58, 'shuffle': False, 'momentum': 0.8776144434398132, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.64516054560216, 'activation': 'relu', 'hidden_layer_sizes': (104, 141, 126), 'alpha': 4.539975751186864, 'max_iter': 98, 'batch_size': 80, 'shuffle': True, 'momentum': 0.10066345690566682, 'nesterovs_momentum': False}"
