,MLP (ADAM)
0,0.8528522225516414
1,0.7257306197515314
2,0.020922612436174683
3,0.3390906783961132
4,0.18956365269339426
5,0.014323200787419707
6,0.9647036149966914
7,0.2722592243108319
8,0.42389333528299183
9,0.1150527160243102
10,0.5836791549623097
11,0.7847883625973927
12,0.5631431663820201
13,0.821102415074288
14,0.3429050814183974
15,0.7485689047516798
16,0.7760475158880767
17,0.23477948945720203
18,0.8706262465079917
19,0.3161591049678719
20,0.4343123224923963
21,0.9449466857447125
22,0.7086538420757275
23,0.9775962336811262
24,0.9039050187955393
25,0.77415400159893
26,0.9252925012595209
27,0.3094206588235096
28,0.5885917258872136
29,0.4336939183296861
