,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.208293740199131, 'activation': 'relu', 'hidden_layer_sizes': (137, 10, 137, 55, 13), 'alpha': 1.1362712757459366, 'max_iter': 75, 'batch_size': 133, 'shuffle': False, 'momentum': 0.11185586885062312, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7749302321831805, 'activation': 'relu', 'hidden_layer_sizes': (60,), 'alpha': 2.4877587326721384, 'max_iter': 44, 'batch_size': 304, 'shuffle': False, 'momentum': 0.07112813081745512, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.27942139472792, 'activation': 'relu', 'hidden_layer_sizes': (182,), 'alpha': 0.7250841783611885, 'max_iter': 330, 'batch_size': 229, 'shuffle': False, 'momentum': 0.43723566216214665, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.94079756516707, 'activation': 'relu', 'hidden_layer_sizes': (78, 167, 124, 45, 117), 'alpha': 6.318937698856546, 'max_iter': 163, 'batch_size': 115, 'shuffle': False, 'momentum': 0.4021054654296318, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.686430734779475, 'activation': 'tanh', 'hidden_layer_sizes': (108, 86), 'alpha': 4.716181252500119, 'max_iter': 233, 'batch_size': 261, 'shuffle': True, 'momentum': 0.27109215100547435, 'nesterovs_momentum': True}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.419071979861387, 'activation': 'relu', 'hidden_layer_sizes': (6, 159, 162, 60), 'alpha': 8.78882739279201, 'max_iter': 448, 'batch_size': 203, 'shuffle': True, 'momentum': 0.9287709622446313, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.557441035381691, 'activation': 'relu', 'hidden_layer_sizes': (197, 175, 171, 80, 43), 'alpha': 3.2802939623412124, 'max_iter': 325, 'batch_size': 196, 'shuffle': False, 'momentum': 0.3720213256294395, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.04528104062264, 'activation': 'relu', 'hidden_layer_sizes': (44, 10, 87, 159), 'alpha': 2.6779501415149385, 'max_iter': 186, 'batch_size': 198, 'shuffle': True, 'momentum': 0.46955566538458454, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1068708391179107, 'activation': 'relu', 'hidden_layer_sizes': (63,), 'alpha': 5.068804257176583, 'max_iter': 296, 'batch_size': 241, 'shuffle': False, 'momentum': 0.904870079481398, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0138634093718683, 'activation': 'tanh', 'hidden_layer_sizes': (1, 42, 189, 147), 'alpha': 0.7722730000037883, 'max_iter': 248, 'batch_size': 160, 'shuffle': True, 'momentum': 0.2257641129122106, 'nesterovs_momentum': False}"
