,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.0126829639221709, 'activation': 'tanh', 'hidden_layer_sizes': (119, 190), 'alpha': 2.7069485804769844, 'max_iter': 274, 'batch_size': 128, 'shuffle': True, 'momentum': 0.015272541030926918, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03045312487215226, 'activation': 'relu', 'hidden_layer_sizes': (155, 119, 189), 'alpha': 4.025669916974531, 'max_iter': 253, 'batch_size': 196, 'shuffle': False, 'momentum': 0.3802520420895514, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19342242387030845, 'activation': 'tanh', 'hidden_layer_sizes': (56, 122, 157), 'alpha': 2.661173515994618, 'max_iter': 40, 'batch_size': 147, 'shuffle': True, 'momentum': 0.03072655031995005, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0639012390744738, 'activation': 'relu', 'hidden_layer_sizes': (107, 127), 'alpha': 0.5531263071536543, 'max_iter': 353, 'batch_size': 57, 'shuffle': True, 'momentum': 0.6424800858233369, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.543704977198921, 'activation': 'logistic', 'hidden_layer_sizes': (69, 178, 142, 151, 135), 'alpha': 2.339750531362451, 'max_iter': 450, 'batch_size': 187, 'shuffle': True, 'momentum': 0.11865748407487528, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.374545741506738, 'activation': 'tanh', 'hidden_layer_sizes': (47, 140, 63, 63), 'alpha': 0.7945390914163761, 'max_iter': 108, 'batch_size': 97, 'shuffle': True, 'momentum': 0.40119809015927455, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.587738679038184, 'activation': 'relu', 'hidden_layer_sizes': (161, 86, 159, 13, 169), 'alpha': 4.085490417881277, 'max_iter': 25, 'batch_size': 149, 'shuffle': False, 'momentum': 0.04677787866653926, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.150663087584041, 'activation': 'tanh', 'hidden_layer_sizes': (63,), 'alpha': 5.990798152377743, 'max_iter': 182, 'batch_size': 68, 'shuffle': False, 'momentum': 0.35137620249350054, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.4812946798294404, 'activation': 'relu', 'hidden_layer_sizes': (35, 108), 'alpha': 8.831805994484968, 'max_iter': 458, 'batch_size': 166, 'shuffle': True, 'momentum': 0.38347815324044227, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.020482155946145, 'activation': 'tanh', 'hidden_layer_sizes': (27,), 'alpha': 1.0548614333845077, 'max_iter': 126, 'batch_size': 137, 'shuffle': False, 'momentum': 0.1663393515582298, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.305703697492968, 'activation': 'relu', 'hidden_layer_sizes': (137, 181, 91, 83), 'alpha': 4.677270515514832, 'max_iter': 318, 'batch_size': 77, 'shuffle': True, 'momentum': 0.2617422921934204, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.631072965618445, 'activation': 'tanh', 'hidden_layer_sizes': (59,), 'alpha': 6.166790963579764, 'max_iter': 108, 'batch_size': 155, 'shuffle': True, 'momentum': 0.7734509569203837, 'nesterovs_momentum': False}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.10728500615285079, 'activation': 'tanh', 'hidden_layer_sizes': (190, 11, 45, 70, 102), 'alpha': 1.2308966109925317, 'max_iter': 2, 'batch_size': 87, 'shuffle': True, 'momentum': 0.8563612722141033, 'nesterovs_momentum': True}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.155855605965207, 'activation': 'tanh', 'hidden_layer_sizes': (22,), 'alpha': 8.067590964633954, 'max_iter': 188, 'batch_size': 179, 'shuffle': False, 'momentum': 0.10707972502286112, 'nesterovs_momentum': False}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.368763346004634, 'activation': 'relu', 'hidden_layer_sizes': (185, 43), 'alpha': 5.270741084599464, 'max_iter': 71, 'batch_size': 99, 'shuffle': True, 'momentum': 0.821484175290351, 'nesterovs_momentum': False}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.560003882086263, 'activation': 'relu', 'hidden_layer_sizes': (165, 75), 'alpha': 7.414138768140577, 'max_iter': 3, 'batch_size': 129, 'shuffle': True, 'momentum': 0.653555922904413, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.824642482592703, 'activation': 'logistic', 'hidden_layer_sizes': (140, 179, 5, 51, 151), 'alpha': 9.136866570085896, 'max_iter': 271, 'batch_size': 225, 'shuffle': True, 'momentum': 0.5311861522421132, 'nesterovs_momentum': False}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5829939018257478, 'activation': 'tanh', 'hidden_layer_sizes': (171,), 'alpha': 2.946618437444393, 'max_iter': 50, 'batch_size': 193, 'shuffle': True, 'momentum': 0.8169215230145946, 'nesterovs_momentum': False}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.375001170477393, 'activation': 'tanh', 'hidden_layer_sizes': (102, 95, 179), 'alpha': 9.688897885027455, 'max_iter': 40, 'batch_size': 95, 'shuffle': True, 'momentum': 0.15403045595538178, 'nesterovs_momentum': True}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.756330995774315, 'activation': 'relu', 'hidden_layer_sizes': (30, 144, 155), 'alpha': 1.830781081643598, 'max_iter': 333, 'batch_size': 99, 'shuffle': True, 'momentum': 0.6655725698477225, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.459308226522755, 'activation': 'logistic', 'hidden_layer_sizes': (192,), 'alpha': 0.4406141914507521, 'max_iter': 308, 'batch_size': 126, 'shuffle': False, 'momentum': 0.4033089683341456, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3199101751943636, 'activation': 'relu', 'hidden_layer_sizes': (5, 126), 'alpha': 1.9306563082083605, 'max_iter': 378, 'batch_size': 189, 'shuffle': False, 'momentum': 0.5464813713460762, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.237430609416368, 'activation': 'relu', 'hidden_layer_sizes': (45,), 'alpha': 3.071670558481517, 'max_iter': 78, 'batch_size': 214, 'shuffle': False, 'momentum': 0.7116743886217475, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.55153219599194, 'activation': 'relu', 'hidden_layer_sizes': (153,), 'alpha': 8.787263108511194, 'max_iter': 123, 'batch_size': 80, 'shuffle': True, 'momentum': 0.07142402643064676, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3055936633933762, 'activation': 'tanh', 'hidden_layer_sizes': (197, 150, 103, 186), 'alpha': 8.413560228593425, 'max_iter': 119, 'batch_size': 127, 'shuffle': False, 'momentum': 0.5471656667744713, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.73917910349077, 'activation': 'logistic', 'hidden_layer_sizes': (50, 165, 116), 'alpha': 0.2732324647219475, 'max_iter': 82, 'batch_size': 131, 'shuffle': False, 'momentum': 0.2553142301474614, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.073583717495138, 'activation': 'relu', 'hidden_layer_sizes': (107, 117), 'alpha': 8.66664018963505, 'max_iter': 139, 'batch_size': 149, 'shuffle': False, 'momentum': 0.5317499274490111, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.8323795145458637, 'activation': 'tanh', 'hidden_layer_sizes': (185, 40, 179, 12, 109), 'alpha': 0.6961179164218192, 'max_iter': 465, 'batch_size': 94, 'shuffle': False, 'momentum': 0.5568304009457351, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.09058322710004141, 'activation': 'logistic', 'hidden_layer_sizes': (177, 57, 29), 'alpha': 1.047887359767956, 'max_iter': 210, 'batch_size': 135, 'shuffle': False, 'momentum': 0.8893672482747319, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.003128869878744804, 'activation': 'tanh', 'hidden_layer_sizes': (169, 181, 51, 27), 'alpha': 1.302037950878136, 'max_iter': 429, 'batch_size': 138, 'shuffle': False, 'momentum': 0.7725292034687419, 'nesterovs_momentum': False}"
