,MLP (ADAM)
0,0.9093609802882716
1,0.7779511110985615
2,0.3673749340313641
3,0.6356420285620041
4,0.34329897624734185
5,0.6406602251868154
6,0.08804916418365522
7,0.577714454626551
8,0.5241987386621104
9,0.7724954372221683
10,0.2538726733858109
11,0.7027231001506301
12,0.7170889641769097
13,0.6433297004184347
14,0.854074517537554
15,0.16417792993036412
16,0.24361504533591613
17,0.14015417482798226
18,0.18366768978907796
19,0.7449734253678585
20,0.8846305142286112
21,0.7684619881526521
22,0.12483232077353314
23,0.9954729719551648
24,0.743839021523973
25,0.3700957401659412
26,0.9767532057273053
27,0.8973355098540629
28,0.5497886532591265
29,0.9897307601532618
