,MLP (ADAM)
0,0.7952570280620428
1,0.025979883043091217
2,0.7114922856585083
3,0.04062999180493545
4,0.12653854883114707
5,0.911327517172108
6,0.9551457997235326
7,0.5878776376626214
8,0.06740256506791849
9,0.6549658516617135
10,0.7807997005029356
11,0.8097846088719122
12,0.8026796153252272
13,0.5218185295792529
14,0.33444265142309937
15,0.025644794440787086
16,0.5091104299588551
17,0.6112091293179435
18,0.0005575353254627406
19,0.09624111629408186
20,0.7938367887641398
21,0.852208184466233
22,0.9670414094464995
23,0.38698529552497396
24,0.8853711908451778
25,0.345643894171123
26,0.8010352499949532
27,0.07954704344421547
28,0.10452975416169721
29,0.1788608117699767
