,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5509991510139465, 'activation': 'logistic', 'hidden_layer_sizes': (54, 182, 43, 199, 49), 'alpha': 3.7528664917349523, 'max_iter': 43, 'batch_size': 303, 'shuffle': True, 'momentum': 0.40108453181449955, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11906162282575894, 'activation': 'logistic', 'hidden_layer_sizes': (118, 53), 'alpha': 1.368022792370638, 'max_iter': 77, 'batch_size': 252, 'shuffle': True, 'momentum': 0.653866569339499, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8154403759659508, 'activation': 'logistic', 'hidden_layer_sizes': (134, 6, 7, 124), 'alpha': 5.593538081325787, 'max_iter': 495, 'batch_size': 276, 'shuffle': True, 'momentum': 0.4123748646455903, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.300887702113462, 'activation': 'tanh', 'hidden_layer_sizes': (153,), 'alpha': 0.4359763852001103, 'max_iter': 403, 'batch_size': 106, 'shuffle': True, 'momentum': 0.03836807276663562, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.15406914256777465, 'activation': 'tanh', 'hidden_layer_sizes': (71, 115, 166, 144), 'alpha': 4.539524355685789, 'max_iter': 49, 'batch_size': 58, 'shuffle': True, 'momentum': 0.368602893875101, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.11485423209587, 'activation': 'relu', 'hidden_layer_sizes': (119, 168, 69, 38, 1), 'alpha': 9.136588857424456, 'max_iter': 317, 'batch_size': 281, 'shuffle': False, 'momentum': 0.16148680250827546, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4109842544974067, 'activation': 'logistic', 'hidden_layer_sizes': (104, 10, 156), 'alpha': 9.11845956975351, 'max_iter': 145, 'batch_size': 146, 'shuffle': True, 'momentum': 0.6880965042514274, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18235268608995495, 'activation': 'tanh', 'hidden_layer_sizes': (182, 87), 'alpha': 8.208206854821645, 'max_iter': 230, 'batch_size': 163, 'shuffle': False, 'momentum': 0.478393225153755, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.037563998675032, 'activation': 'logistic', 'hidden_layer_sizes': (57, 56, 71), 'alpha': 1.9491885113264746, 'max_iter': 215, 'batch_size': 164, 'shuffle': True, 'momentum': 0.4833517704158074, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.470094945146895, 'activation': 'logistic', 'hidden_layer_sizes': (130, 144, 90, 146, 60), 'alpha': 4.834800482748627, 'max_iter': 302, 'batch_size': 245, 'shuffle': True, 'momentum': 0.7303094226601616, 'nesterovs_momentum': False}"
