,MLP (ADAM)
0,0.036501492957253766
1,0.878725958912735
2,0.3446875534600637
3,0.6327177042913009
4,0.9877952815359747
5,0.8868629911180588
6,0.7895592366494772
7,0.9044320211459265
8,0.6408179668544035
9,0.2695499347847085
10,0.28574700056304664
11,0.5390035044180743
12,0.09076752602778966
13,0.016634261988392605
14,0.7692125245046983
15,0.8494354050856697
16,0.8681642247235779
17,0.6579377395546282
18,0.6519124350850404
19,0.9257824287027948
20,0.8316601813195448
21,0.8982429551233129
22,0.9959228182748514
23,0.8131987515937988
24,0.9604532387705843
25,0.9914576417381571
26,0.8851474613562759
27,0.9930088694264506
28,0.7479341686359663
29,0.6949469075829835
