,MLP (ADAM)
0,0.9949881883943417
1,0.6792437221420154
2,0.9829632549618346
3,0.48801739777172803
4,0.23572505714357006
5,0.29456996557389015
6,0.6112296985651171
7,0.9564289426450411
8,0.8956554633720492
9,0.8244273104965179
10,0.7388737815972541
11,0.85087016266674
12,0.30752565439428625
13,0.11711310220753811
14,0.2089228718285396
15,0.5807355877982212
16,0.21456690283121205
17,0.14538662493616727
18,0.5563091574516204
19,0.25682925331827333
20,0.3057530305062498
21,0.8132426330380637
22,0.5298182535560179
23,0.3408502137572616
24,0.8743989724999306
25,0.17451702891705756
26,0.7867552745857864
27,0.4141802557741944
28,0.32861248757421546
29,0.9440630513423507
