,MLP (LBFGS),MLP (ADAM),MLP (SGD)
10,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (114, 98, 29, 32), 'alpha': 3.5470638874658973, 'max_iter': 577}","{'solver': 'adam', 'learning_rate_init': 0.131734600503169, 'activation': 'logistic', 'hidden_layer_sizes': (49, 129, 23, 83), 'alpha': 0, 'max_iter': 302, 'batch_size': 294, 'shuffle': True, 'beta_1': 0.8655452864637709, 'beta_2': 0.7388737815972541}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5505939534991828, 'activation': 'logistic', 'hidden_layer_sizes': (66, 176), 'alpha': 0, 'max_iter': 105, 'batch_size': 184, 'shuffle': False, 'momentum': 0.8538308043671707, 'nesterovs_momentum': True}"
11,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (65, 194, 71, 140, 97), 'alpha': 0, 'max_iter': 201}","{'solver': 'adam', 'learning_rate_init': 0.5354055144170353, 'activation': 'relu', 'hidden_layer_sizes': (86, 115, 16, 111), 'alpha': 0, 'max_iter': 665, 'batch_size': 135, 'shuffle': True, 'beta_1': 0.5033060964078844, 'beta_2': 0.85087016266674}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.06580738642611474, 'activation': 'logistic', 'hidden_layer_sizes': (191, 64), 'alpha': 4.917061169259398, 'max_iter': 570, 'batch_size': 269, 'shuffle': True, 'momentum': 0.012976996978239688, 'nesterovs_momentum': False}"
12,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (165, 197, 146, 147, 129), 'alpha': 0, 'max_iter': 672}","{'solver': 'adam', 'learning_rate_init': 0.3873801226541452, 'activation': 'relu', 'hidden_layer_sizes': (198, 105), 'alpha': 0, 'max_iter': 939, 'batch_size': 107, 'shuffle': False, 'beta_1': 0.2852834703644776, 'beta_2': 0.30752565439428625}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07743491314959423, 'activation': 'logistic', 'hidden_layer_sizes': (51, 143), 'alpha': 0, 'max_iter': 170, 'batch_size': 211, 'shuffle': False, 'momentum': 0.12294689018736257, 'nesterovs_momentum': False}"
13,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (70, 2, 168, 78, 74), 'alpha': 2.261330286971438, 'max_iter': 279}","{'solver': 'adam', 'learning_rate_init': 0.10865522946788897, 'activation': 'relu', 'hidden_layer_sizes': (61, 77), 'alpha': 0, 'max_iter': 433, 'batch_size': 72, 'shuffle': False, 'beta_1': 0.3785562004497702, 'beta_2': 0.11711310220753811}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.46024559670281573, 'activation': 'logistic', 'hidden_layer_sizes': (185, 50), 'alpha': 0, 'max_iter': 892, 'batch_size': 345, 'shuffle': False, 'momentum': 0.28460643706022976, 'nesterovs_momentum': True}"
14,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (34, 151, 190), 'alpha': 0, 'max_iter': 18}","{'solver': 'adam', 'learning_rate_init': 0.16395090579171065, 'activation': 'logistic', 'hidden_layer_sizes': (62, 45, 91, 190, 128), 'alpha': 0, 'max_iter': 503, 'batch_size': 323, 'shuffle': False, 'beta_1': 0.6314794852779285, 'beta_2': 0.2089228718285396}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7153639167775743, 'activation': 'logistic', 'hidden_layer_sizes': (31, 29, 151, 129), 'alpha': 0, 'max_iter': 104, 'batch_size': 168, 'shuffle': False, 'momentum': 0.08158627859076023, 'nesterovs_momentum': True}"
15,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (156,), 'alpha': 0, 'max_iter': 5}","{'solver': 'adam', 'learning_rate_init': 0.2714262075878522, 'activation': 'logistic', 'hidden_layer_sizes': (122, 99, 30, 27, 125), 'alpha': 4.946857347721584, 'max_iter': 179, 'batch_size': 304, 'shuffle': False, 'beta_1': 0.37279287534185174, 'beta_2': 0.5807355877982212}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2125676921725077, 'activation': 'logistic', 'hidden_layer_sizes': (53, 25), 'alpha': 0, 'max_iter': 192, 'batch_size': 283, 'shuffle': True, 'momentum': 0.6420375339095163, 'nesterovs_momentum': False}"
16,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (198, 34, 44), 'alpha': 3.904973103744232, 'max_iter': 874}","{'solver': 'adam', 'learning_rate_init': 0.07879804095628239, 'activation': 'logistic', 'hidden_layer_sizes': (39, 187, 131, 32, 192), 'alpha': 0, 'max_iter': 153, 'batch_size': 122, 'shuffle': False, 'beta_1': 0.8047712109105636, 'beta_2': 0.21456690283121205}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7020358800576145, 'activation': 'relu', 'hidden_layer_sizes': (23, 45, 111, 14), 'alpha': 0.331595036051748, 'max_iter': 43, 'batch_size': 162, 'shuffle': True, 'momentum': 0.25123699567099333, 'nesterovs_momentum': False}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (65, 75, 79, 79, 153), 'alpha': 2.5457842565614293, 'max_iter': 595}","{'solver': 'adam', 'learning_rate_init': 0.05434381214625596, 'activation': 'logistic', 'hidden_layer_sizes': (127, 121, 152), 'alpha': 0.6546728897970083, 'max_iter': 132, 'batch_size': 111, 'shuffle': False, 'beta_1': 0.8408451501215821, 'beta_2': 0.14538662493616727}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9894910644734156, 'activation': 'logistic', 'hidden_layer_sizes': (104, 63, 160), 'alpha': 1.9839109661536647, 'max_iter': 777, 'batch_size': 125, 'shuffle': True, 'momentum': 0.13940818483598752, 'nesterovs_momentum': True}"
18,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (162, 45, 99, 112, 138), 'alpha': 0, 'max_iter': 470}","{'solver': 'adam', 'learning_rate_init': 1.2230330547259678, 'activation': 'logistic', 'hidden_layer_sizes': (118, 5, 23), 'alpha': 4.169455382716575, 'max_iter': 59, 'batch_size': 175, 'shuffle': False, 'beta_1': 0.5026339390569352, 'beta_2': 0.5563091574516204}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6270629067798247, 'activation': 'logistic', 'hidden_layer_sizes': (148, 115), 'alpha': 4.00530464869565, 'max_iter': 720, 'batch_size': 155, 'shuffle': True, 'momentum': 0.18502572436337975, 'nesterovs_momentum': True}"
19,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (121, 117, 8, 106), 'alpha': 2.945670259768233, 'max_iter': 945}","{'solver': 'adam', 'learning_rate_init': 0.06556002301184745, 'activation': 'tanh', 'hidden_layer_sizes': (155, 21), 'alpha': 3.9406182888541683, 'max_iter': 502, 'batch_size': 102, 'shuffle': False, 'beta_1': 0.16689609434673963, 'beta_2': 0.25682925331827333}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4101990707880506, 'activation': 'logistic', 'hidden_layer_sizes': (71, 183, 45), 'alpha': 0, 'max_iter': 324, 'batch_size': 146, 'shuffle': False, 'momentum': 0.31709464682172056, 'nesterovs_momentum': True}"
20,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (97, 43, 113), 'alpha': 4.460791928445523, 'max_iter': 195}","{'solver': 'adam', 'learning_rate_init': 0.035623171422005946, 'activation': 'relu', 'hidden_layer_sizes': (165, 182, 11, 74, 152), 'alpha': 0, 'max_iter': 55, 'batch_size': 298, 'shuffle': False, 'beta_1': 0.23913384833618562, 'beta_2': 0.3057530305062498}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7885053139073988, 'activation': 'relu', 'hidden_layer_sizes': (2, 90), 'alpha': 0, 'max_iter': 36, 'batch_size': 65, 'shuffle': True, 'momentum': 0.7544988339029349, 'nesterovs_momentum': True}"
21,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (55, 24, 137, 49, 46), 'alpha': 0, 'max_iter': 594}","{'solver': 'adam', 'learning_rate_init': 0.2743785974639801, 'activation': 'logistic', 'hidden_layer_sizes': (132,), 'alpha': 3.204287422004827, 'max_iter': 119, 'batch_size': 118, 'shuffle': False, 'beta_1': 0.6245496356238026, 'beta_2': 0.8132426330380637}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.43227966455317685, 'activation': 'logistic', 'hidden_layer_sizes': (125, 140, 88), 'alpha': 0, 'max_iter': 46, 'batch_size': 179, 'shuffle': True, 'momentum': 0.2508261512524095, 'nesterovs_momentum': False}"
22,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (71, 126, 87, 65, 25), 'alpha': 0, 'max_iter': 88}","{'solver': 'adam', 'learning_rate_init': 0.30905638738583713, 'activation': 'relu', 'hidden_layer_sizes': (85, 28), 'alpha': 0, 'max_iter': 612, 'batch_size': 172, 'shuffle': True, 'beta_1': 0.209957194358475, 'beta_2': 0.5298182535560179}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1564760610250827, 'activation': 'logistic', 'hidden_layer_sizes': (94, 74, 75, 10, 164), 'alpha': 0, 'max_iter': 613, 'batch_size': 147, 'shuffle': False, 'momentum': 0.421538011347999, 'nesterovs_momentum': False}"
23,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (169, 92, 101, 120, 188), 'alpha': 3.875267668583169, 'max_iter': 225}","{'solver': 'adam', 'learning_rate_init': 0.2899053721002184, 'activation': 'logistic', 'hidden_layer_sizes': (180, 139, 55, 34), 'alpha': 4.956854855703816, 'max_iter': 358, 'batch_size': 58, 'shuffle': True, 'beta_1': 0.6690878754723937, 'beta_2': 0.3408502137572616}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2826768886057183, 'activation': 'logistic', 'hidden_layer_sizes': (155, 64, 64), 'alpha': 0, 'max_iter': 54, 'batch_size': 267, 'shuffle': True, 'momentum': 0.07753407480936919, 'nesterovs_momentum': True}"
24,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (44, 173, 113, 85), 'alpha': 0.19396320096783273, 'max_iter': 938}","{'solver': 'adam', 'learning_rate_init': 0.21420835271731012, 'activation': 'logistic', 'hidden_layer_sizes': (73, 163, 46, 136), 'alpha': 0, 'max_iter': 766, 'batch_size': 102, 'shuffle': True, 'beta_1': 0.8510394711603775, 'beta_2': 0.8743989724999306}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.915995840138757, 'activation': 'relu', 'hidden_layer_sizes': (23, 14, 141, 58), 'alpha': 1.1029909796600565, 'max_iter': 512, 'batch_size': 160, 'shuffle': True, 'momentum': 0.17889146394805105, 'nesterovs_momentum': True}"
25,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (24, 22, 139, 126), 'alpha': 1.7988510365626804, 'max_iter': 635}","{'solver': 'adam', 'learning_rate_init': 0.1715287966309039, 'activation': 'logistic', 'hidden_layer_sizes': (10,), 'alpha': 2.537839309253767, 'max_iter': 246, 'batch_size': 130, 'shuffle': True, 'beta_1': 0.6879128571808538, 'beta_2': 0.17451702891705756}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8210950993512818, 'activation': 'logistic', 'hidden_layer_sizes': (159, 184, 158, 89, 9), 'alpha': 1.7515457783227095, 'max_iter': 194, 'batch_size': 264, 'shuffle': False, 'momentum': 0.4110387403023654, 'nesterovs_momentum': False}"
26,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (137, 180, 81), 'alpha': 4.95223717271453, 'max_iter': 19}","{'solver': 'adam', 'learning_rate_init': 0.30096158271394813, 'activation': 'logistic', 'hidden_layer_sizes': (163, 10, 103), 'alpha': 1.5325735543935706, 'max_iter': 941, 'batch_size': 139, 'shuffle': True, 'beta_1': 0.7692264208394975, 'beta_2': 0.7867552745857864}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.38990042587081486, 'activation': 'relu', 'hidden_layer_sizes': (142, 92, 1, 54, 66), 'alpha': 2.6948463156962683, 'max_iter': 907, 'batch_size': 232, 'shuffle': True, 'momentum': 0.8625512391938583, 'nesterovs_momentum': True}"
27,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (186, 177, 184, 91, 109), 'alpha': 0, 'max_iter': 457}","{'solver': 'adam', 'learning_rate_init': 0.4427304944585298, 'activation': 'relu', 'hidden_layer_sizes': (94, 7, 1, 39, 144), 'alpha': 2.8076077597797995, 'max_iter': 780, 'batch_size': 133, 'shuffle': True, 'beta_1': 0.36094818977915455, 'beta_2': 0.4141802557741944}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1509224425276769, 'activation': 'relu', 'hidden_layer_sizes': (192, 146, 9), 'alpha': 0, 'max_iter': 526, 'batch_size': 250, 'shuffle': False, 'momentum': 0.956198062903009, 'nesterovs_momentum': True}"
28,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (191, 26, 60, 88, 130), 'alpha': 1.8194959330161142, 'max_iter': 131}","{'solver': 'adam', 'learning_rate_init': 0.06052831657803303, 'activation': 'logistic', 'hidden_layer_sizes': (39, 53, 67, 32), 'alpha': 0, 'max_iter': 194, 'batch_size': 205, 'shuffle': True, 'beta_1': 0.8845245630026979, 'beta_2': 0.32861248757421546}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5754487420906735, 'activation': 'logistic', 'hidden_layer_sizes': (57, 55, 93, 18), 'alpha': 0, 'max_iter': 286, 'batch_size': 253, 'shuffle': False, 'momentum': 0.16592754772579923, 'nesterovs_momentum': False}"
29,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (109, 27, 115, 122), 'alpha': 3.72155234238928, 'max_iter': 463}","{'solver': 'adam', 'learning_rate_init': 0.09452579121601569, 'activation': 'relu', 'hidden_layer_sizes': (161, 15, 153), 'alpha': 0.6742540498015341, 'max_iter': 521, 'batch_size': 132, 'shuffle': False, 'beta_1': 0.6659197357496773, 'beta_2': 0.9440630513423507}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2578754548961787, 'activation': 'logistic', 'hidden_layer_sizes': (18, 180, 122, 107, 134), 'alpha': 1.6800866800921435, 'max_iter': 477, 'batch_size': 125, 'shuffle': False, 'momentum': 0.5112077443237901, 'nesterovs_momentum': False}"
