,MLP (ADAM)
0,0.4503868624163378
1,0.7020768439483992
2,0.09194574615319519
3,0.4774905691726226
4,0.35239345430011365
5,0.5923201563642002
6,0.26214546200369665
7,0.9856104507551982
8,0.5454951723985205
9,0.05655407780584911
10,0.48346633413812634
11,0.04364048840547681
12,0.6017006572042638
13,0.9384247921072373
14,0.5083886603432006
15,0.4054523757452383
16,0.271128560152991
17,0.8611620715672427
18,0.31193182725063096
19,0.5318559861121478
20,0.682837946318392
21,0.4515838738830949
22,0.9017177099459815
23,0.8161823823141171
24,0.9237407563734927
25,0.3572179156297514
26,0.34296882502633774
27,0.7017377198778106
28,0.5680428991359324
29,0.39554890875061977
