,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7852922725118496, 'activation': 'relu', 'hidden_layer_sizes': (103,), 'alpha': 4.959315097349463, 'max_iter': 482, 'batch_size': 1397, 'shuffle': False, 'momentum': 0.033595937295688376, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.821936338762496, 'activation': 'logistic', 'hidden_layer_sizes': (30, 95, 163), 'alpha': 3.670503498062822, 'max_iter': 116, 'batch_size': 948, 'shuffle': True, 'momentum': 0.5491024202082488, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.3497765387654743, 'activation': 'logistic', 'hidden_layer_sizes': (18, 38), 'alpha': 5.096119218613792, 'max_iter': 223, 'batch_size': 297, 'shuffle': False, 'momentum': 0.15111196964551676, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.25399450568458687, 'activation': 'tanh', 'hidden_layer_sizes': (69, 191, 92), 'alpha': 8.774522196359404, 'max_iter': 74, 'batch_size': 630, 'shuffle': False, 'momentum': 0.3672950493110657, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.273206330777731, 'activation': 'tanh', 'hidden_layer_sizes': (51,), 'alpha': 3.907853810652544, 'max_iter': 174, 'batch_size': 216, 'shuffle': False, 'momentum': 0.5077457017751613, 'nesterovs_momentum': True}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.138071484431697, 'activation': 'logistic', 'hidden_layer_sizes': (33, 63, 63), 'alpha': 3.7383675205594527, 'max_iter': 424, 'batch_size': 1203, 'shuffle': False, 'momentum': 0.21460787770501485, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.755399767306081, 'activation': 'logistic', 'hidden_layer_sizes': (108, 134, 21, 26, 37), 'alpha': 8.801448164654586, 'max_iter': 195, 'batch_size': 1198, 'shuffle': True, 'momentum': 0.7997631963819436, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.5394828950620396, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 0.265891462960286, 'max_iter': 298, 'batch_size': 1086, 'shuffle': False, 'momentum': 0.7490705538799801, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.334105639869292, 'activation': 'logistic', 'hidden_layer_sizes': (25, 62, 138, 151, 69), 'alpha': 7.6289084550281405, 'max_iter': 274, 'batch_size': 446, 'shuffle': True, 'momentum': 0.5558465799184648, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.347274833542606, 'activation': 'logistic', 'hidden_layer_sizes': (45, 171, 160), 'alpha': 0.5494335555766432, 'max_iter': 191, 'batch_size': 355, 'shuffle': False, 'momentum': 0.11023611864609552, 'nesterovs_momentum': False}"
