,MLP (ADAM),MLP (SGD)
10,"{'solver': 'adam', 'learning_rate_init': 8.40964717481031, 'activation': 'tanh', 'hidden_layer_sizes': (159, 23), 'alpha': 1.1526597762998072, 'max_iter': 86, 'batch_size': 377, 'shuffle': True, 'beta_1': 0.48346633413812634, 'beta_2': 0.600967075542001}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6327691025366997, 'activation': 'relu', 'hidden_layer_sizes': (98,), 'alpha': 9.613848001116333, 'max_iter': 124, 'batch_size': 50, 'shuffle': True, 'momentum': 0.09535269762504554, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 4.429547833946527, 'activation': 'tanh', 'hidden_layer_sizes': (81, 71, 166), 'alpha': 4.8162276383868265, 'max_iter': 242, 'batch_size': 281, 'shuffle': True, 'beta_1': 0.04364048840547681, 'beta_2': 0.6796116605385535}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.42810514602152, 'activation': 'logistic', 'hidden_layer_sizes': (64,), 'alpha': 4.300698940382458, 'max_iter': 181, 'batch_size': 566, 'shuffle': False, 'momentum': 0.890866241793184, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 8.148462847790286, 'activation': 'logistic', 'hidden_layer_sizes': (102, 71, 137), 'alpha': 6.464130520807754, 'max_iter': 157, 'batch_size': 436, 'shuffle': True, 'beta_1': 0.6017006572042638, 'beta_2': 0.7420138708060522}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.643918479670404, 'activation': 'logistic', 'hidden_layer_sizes': (113,), 'alpha': 9.518486763468907, 'max_iter': 182, 'batch_size': 1628, 'shuffle': False, 'momentum': 0.1631412520700934, 'nesterovs_momentum': False}"
13,"{'solver': 'adam', 'learning_rate_init': 6.971214476891664, 'activation': 'relu', 'hidden_layer_sizes': (2, 194, 96, 114), 'alpha': 6.2375106365862045, 'max_iter': 446, 'batch_size': 408, 'shuffle': True, 'beta_1': 0.9384247921072373, 'beta_2': 0.011962165709218145}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.615800061656962, 'activation': 'relu', 'hidden_layer_sizes': (127, 116, 6), 'alpha': 2.638748977623892, 'max_iter': 24, 'batch_size': 654, 'shuffle': False, 'momentum': 0.5694969501106857, 'nesterovs_momentum': False}"
14,"{'solver': 'adam', 'learning_rate_init': 9.404523316748659, 'activation': 'relu', 'hidden_layer_sizes': (7, 126, 79, 160), 'alpha': 2.9725932872292584, 'max_iter': 464, 'batch_size': 1167, 'shuffle': False, 'beta_1': 0.5083886603432006, 'beta_2': 0.9028588324479009}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.039028103936253, 'activation': 'logistic', 'hidden_layer_sizes': (57, 162, 27, 110), 'alpha': 1.451393580847157, 'max_iter': 98, 'batch_size': 1617, 'shuffle': False, 'momentum': 0.9115824052784774, 'nesterovs_momentum': True}"
15,"{'solver': 'adam', 'learning_rate_init': 6.286994321839785, 'activation': 'relu', 'hidden_layer_sizes': (124,), 'alpha': 2.5086924272117592, 'max_iter': 6, 'batch_size': 1101, 'shuffle': True, 'beta_1': 0.4054523757452383, 'beta_2': 0.11927907253731018}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.8636727872271583, 'activation': 'tanh', 'hidden_layer_sizes': (146, 70), 'alpha': 9.895442017487634, 'max_iter': 262, 'batch_size': 1672, 'shuffle': False, 'momentum': 0.059349027525211054, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 6.3907631499956095, 'activation': 'logistic', 'hidden_layer_sizes': (113, 10, 85, 41, 135), 'alpha': 3.6908699324288903, 'max_iter': 43, 'batch_size': 913, 'shuffle': False, 'beta_1': 0.271128560152991, 'beta_2': 0.7812739393065965}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.72149810737294, 'activation': 'logistic', 'hidden_layer_sizes': (14, 23, 197, 106, 193), 'alpha': 0.8934928589697458, 'max_iter': 499, 'batch_size': 748, 'shuffle': True, 'momentum': 0.9072073511686968, 'nesterovs_momentum': True}"
17,"{'solver': 'adam', 'learning_rate_init': 9.464253401067221, 'activation': 'tanh', 'hidden_layer_sizes': (199, 165, 186), 'alpha': 9.81290487702775, 'max_iter': 311, 'batch_size': 795, 'shuffle': False, 'beta_1': 0.8611620715672427, 'beta_2': 0.7433556749366982}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.685112742286814, 'activation': 'tanh', 'hidden_layer_sizes': (47, 27), 'alpha': 8.07673556444955, 'max_iter': 160, 'batch_size': 640, 'shuffle': True, 'momentum': 0.25825644433072037, 'nesterovs_momentum': False}"
18,"{'solver': 'adam', 'learning_rate_init': 4.625527943789404, 'activation': 'logistic', 'hidden_layer_sizes': (71, 76, 142, 182, 35), 'alpha': 2.481349623200217, 'max_iter': 69, 'batch_size': 192, 'shuffle': False, 'beta_1': 0.31193182725063096, 'beta_2': 0.5477324083723624}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.071836565306336, 'activation': 'tanh', 'hidden_layer_sizes': (153, 11), 'alpha': 3.9030464978664967, 'max_iter': 177, 'batch_size': 1552, 'shuffle': True, 'momentum': 0.4009865429799682, 'nesterovs_momentum': False}"
19,"{'solver': 'adam', 'learning_rate_init': 8.17659446755922, 'activation': 'tanh', 'hidden_layer_sizes': (19, 102, 196, 104, 136), 'alpha': 7.794801586748429, 'max_iter': 100, 'batch_size': 1067, 'shuffle': False, 'beta_1': 0.5318559861121478, 'beta_2': 0.30750417531849034}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8876836357988511, 'activation': 'tanh', 'hidden_layer_sizes': (180,), 'alpha': 0.39467692289373335, 'max_iter': 116, 'batch_size': 1684, 'shuffle': False, 'momentum': 0.9147109043740526, 'nesterovs_momentum': True}"
