,MLP (SGD)
0,False
1,False
2,True
3,True
4,True
5,False
6,False
7,True
8,True
9,False
10,False
11,False
12,False
13,False
14,True
15,False
16,True
17,False
18,False
19,True
20,True
21,True
22,True
23,False
24,False
25,False
26,True
27,False
28,True
29,True
