,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT"
0,9.257439951619983,5.26449624129414
1,7.211482914641887,0.9994254881484519
2,0.9132048274162086,0.5548553444547962
3,6.935591311187778,3.8430443990300893
4,1.0748367794108722,3.664801080521713
5,2.848649731034593,9.967294568220408
6,0.2974005931623142,1.6986240913436108
7,7.836651143957057,9.715009490761277
8,3.2762498779694207,9.00937721656827
9,1.2667755420158247,0.09982779404708216
10,0.050349920447946596,3.4439920634942647
11,0.30878482310592165,1.612325773557206
12,6.202109808313294,0.8598453868197264
13,6.783082156652596,1.081993641131756
14,5.130311090963787,0.8379680494119758
15,4.116978117205422,0.0734888393142129
16,0.5926497411774678,3.925955860286092
17,4.960016248306704,4.7585923245295225
18,0.005818054382370665,1.7009190715426257
19,6.660191563600336,0.49513737249028733
20,6.59052584112658,1.0248246472639289
21,3.9583882117746128,0.5704843805632452
22,9.806257050583568,7.690989113216421
23,0.7853088909730017,8.02893977218909
24,2.7026600714306275,9.003785285724767
25,0.6180844911809441,4.41540458296077
26,8.247194263442612,8.419784769005409
27,0.40003883238471116,1.2087100289838817
28,0.3271810378982698,0.09752960014134979
29,8.70623161934438,0.6417117004722339
