,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7527830063031766, 'activation': 'tanh', 'hidden_layer_sizes': (66, 108), 'alpha': 0.1676027688868655, 'max_iter': 71, 'batch_size': 190, 'shuffle': False, 'momentum': 0.014660976475636755, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.242824928276, 'activation': 'relu', 'hidden_layer_sizes': (108,), 'alpha': 9.496162847341967, 'max_iter': 287, 'batch_size': 481, 'shuffle': True, 'momentum': 0.14529466292031096, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.65777513505435, 'activation': 'tanh', 'hidden_layer_sizes': (44, 75), 'alpha': 2.5417271649478295, 'max_iter': 175, 'batch_size': 383, 'shuffle': False, 'momentum': 0.7942893784455639, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.963202736315142, 'activation': 'logistic', 'hidden_layer_sizes': (157, 66, 200), 'alpha': 4.241561433693546, 'max_iter': 326, 'batch_size': 402, 'shuffle': True, 'momentum': 0.6151772972372601, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.769974747374937, 'activation': 'tanh', 'hidden_layer_sizes': (165, 164, 120, 99), 'alpha': 2.8229903145774027, 'max_iter': 5, 'batch_size': 347, 'shuffle': False, 'momentum': 0.2009551210132191, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.3991746505806386, 'activation': 'tanh', 'hidden_layer_sizes': (134, 124, 54, 87), 'alpha': 3.3222516908860937, 'max_iter': 68, 'batch_size': 270, 'shuffle': True, 'momentum': 0.5178084786833488, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.633534806394243, 'activation': 'logistic', 'hidden_layer_sizes': (120, 137, 21, 70), 'alpha': 2.276898672037748, 'max_iter': 119, 'batch_size': 237, 'shuffle': False, 'momentum': 0.7357352076339035, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5912699826392507, 'activation': 'tanh', 'hidden_layer_sizes': (112, 77), 'alpha': 5.750660466736012, 'max_iter': 118, 'batch_size': 400, 'shuffle': False, 'momentum': 0.5007131512534716, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7235419599831184, 'activation': 'relu', 'hidden_layer_sizes': (160, 128), 'alpha': 6.16147576155694, 'max_iter': 376, 'batch_size': 315, 'shuffle': True, 'momentum': 0.23135678018502903, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.447639663103744, 'activation': 'logistic', 'hidden_layer_sizes': (16, 150), 'alpha': 5.413338401925968, 'max_iter': 214, 'batch_size': 277, 'shuffle': True, 'momentum': 0.9601081072341389, 'nesterovs_momentum': True}"
