,SLM
0,0.7070393374741201
1,0.7018633540372671
2,0.6946169772256728
3,0.7122153209109731
4,0.7039337474120083
5,0.6997929606625258
6,0.6966873706004141
7,0.6977225672877847
8,0.6997929606625258
9,0.7132505175983437
10,0.718717683557394
11,0.7104446742502585
12,0.7073422957600828
13,0.7114788004136504
14,0.6814891416752844
15,0.7063081695966908
16,0.7125129265770423
17,0.7001034126163392
18,0.7249224405377456
19,0.7094105480868665
20,0.7001034126163392
21,0.7001034126163392
22,0.7218200620475698
23,0.703205791106515
24,0.6928645294725957
25,0.7001034126163392
26,0.7001034126163392
27,0.7197518097207859
28,0.7001034126163392
29,0.7001034126163392
