,MLP (ADAM)
0,0.9019843461759554
1,0.8158764255360181
2,0.2827711177729462
3,0.1809805385629915
4,0.6580574067697427
5,0.9858072957451177
6,0.08871960587431396
7,0.3866688587033833
8,0.9024111005043082
9,0.09148440220983987
10,0.23374591883890666
11,0.9749460076328835
12,0.631350974066218
13,0.9533834932357736
14,0.8500967782187702
15,0.6721462214921111
16,0.41207931230004174
17,0.8830160607091914
18,0.8808890616587167
19,0.8644918458350986
20,0.043382211477491196
21,0.7005251607555049
22,0.7067096125824744
23,0.30039977798977396
24,0.6770676307043262
25,0.5698995287711727
26,0.2647507500161181
27,0.8155110743981069
28,0.06984717374133038
29,0.8802007078248345
