,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,4.50770737699739,3.4755060578236154,4.9142766343566056
1,4.797168339987324,3.6866311278235537,0.0
2,4.772190615892944,1.4419782174145006,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,2.20067533750778,1.3345220523295356
6,0.0,4.827734303817197,0.0
7,0.0,3.1205785267300303,0.6036752495143063
8,0.0,2.3857567937322997,4.191895243731141
9,0.0,0.0,0.0
10,0.0,2.4326027001450554,2.3166229359139097
11,0.06506308854867052,0.0,0.4739821447724777
12,3.6516029398148575,2.6916692677926375,0.0
13,4.814683063027459,0.0,2.7247592163448764
14,0.0,0.0,0.8553234529389769
15,3.8312187376625455,0.0,1.0809173685513014
16,4.743238128423096,4.525484469397239,0.44530983207663444
17,4.83050426439465,0.0,4.3102626380003946
18,3.7498609085144112,0.0,4.916446821856646
19,4.839433022732259,1.568653412575605,0.0
20,4.024512263299745,0.8770675289282921,0.0
21,0.0,0.42165687302658134,0.0
22,0.0,2.2328564712527434,0.0
23,0.0,3.6430747294875148,0.0
24,0.0,0.0,0.0
25,4.811010055111932,0.0,2.9406606581124377
26,3.676186368514508,0.0,0.0
27,4.329166552796368,0.0,0.852521563868562
28,0.0,0.0,0.0
29,4.264822276189025,0.0,0.0
