,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,3,2,1
1,3,5,3
2,2,2,3
3,3,4,4
4,5,5,4
5,5,1,2
6,4,1,2
7,4,4,5
8,5,3,2
9,4,5,3
10,4,4,5
11,5,4,4
12,4,1,4
13,5,4,4
14,4,2,4
15,4,4,2
16,4,4,5
17,2,3,3
18,3,5,5
19,2,1,3
20,5,1,2
21,4,3,3
22,5,2,2
23,4,2,4
24,5,2,5
25,2,4,1
26,5,5,5
27,2,2,3
28,4,3,3
29,2,2,5
