,MLP (LBFGS),MLP (ADAM),MLP (SGD)
14,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (129, 90, 72, 194), 'alpha': 0, 'max_iter': 38}","{'solver': 'adam', 'learning_rate_init': 0.4310464271878213, 'activation': 'relu', 'hidden_layer_sizes': (29, 149), 'alpha': 0, 'max_iter': 454, 'batch_size': 206, 'shuffle': True, 'beta_1': 0.5189392163982834, 'beta_2': 0.32314094412603644}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9966112539750897, 'activation': 'logistic', 'hidden_layer_sizes': (106, 82, 110, 10), 'alpha': 0.8553234529389769, 'max_iter': 387, 'batch_size': 150, 'shuffle': False, 'momentum': 0.9247894778417842, 'nesterovs_momentum': True}"
15,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (41, 18, 75, 71), 'alpha': 3.8312187376625455, 'max_iter': 524}","{'solver': 'adam', 'learning_rate_init': 0.5825082434768344, 'activation': 'relu', 'hidden_layer_sizes': (13, 62, 76, 3), 'alpha': 0, 'max_iter': 173, 'batch_size': 131, 'shuffle': False, 'beta_1': 0.5216266990677395, 'beta_2': 0.5250344575978518}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3214159795034748, 'activation': 'logistic', 'hidden_layer_sizes': (91, 91), 'alpha': 1.0809173685513014, 'max_iter': 750, 'batch_size': 305, 'shuffle': False, 'momentum': 0.049983725366941144, 'nesterovs_momentum': True}"
16,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (58, 177, 134, 157), 'alpha': 4.743238128423096, 'max_iter': 108}","{'solver': 'adam', 'learning_rate_init': 0.1486869936471629, 'activation': 'relu', 'hidden_layer_sizes': (18, 174, 132, 47), 'alpha': 4.525484469397239, 'max_iter': 383, 'batch_size': 66, 'shuffle': False, 'beta_1': 0.08410846385391514, 'beta_2': 0.29730272520199574}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1283139084883497, 'activation': 'relu', 'hidden_layer_sizes': (86, 147, 96, 72, 189), 'alpha': 0.44530983207663444, 'max_iter': 591, 'batch_size': 63, 'shuffle': True, 'momentum': 0.8602694504420668, 'nesterovs_momentum': True}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (119, 40), 'alpha': 4.83050426439465, 'max_iter': 497}","{'solver': 'adam', 'learning_rate_init': 0.9412768689099769, 'activation': 'logistic', 'hidden_layer_sizes': (113, 125, 158), 'alpha': 0, 'max_iter': 312, 'batch_size': 335, 'shuffle': True, 'beta_1': 0.35615180389998813, 'beta_2': 0.9920985046120848}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.894379515011662, 'activation': 'logistic', 'hidden_layer_sizes': (92, 141, 163), 'alpha': 4.3102626380003946, 'max_iter': 275, 'batch_size': 160, 'shuffle': True, 'momentum': 0.47786138507514736, 'nesterovs_momentum': False}"
18,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (7, 105, 175), 'alpha': 3.7498609085144112, 'max_iter': 801}","{'solver': 'adam', 'learning_rate_init': 0.5089645000292821, 'activation': 'logistic', 'hidden_layer_sizes': (135, 108, 58, 191, 12), 'alpha': 0, 'max_iter': 932, 'batch_size': 69, 'shuffle': False, 'beta_1': 0.8323815946551605, 'beta_2': 0.43943290065875396}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.20281798612188726, 'activation': 'tanh', 'hidden_layer_sizes': (134, 54, 194, 148, 175), 'alpha': 4.916446821856646, 'max_iter': 337, 'batch_size': 273, 'shuffle': True, 'momentum': 0.3385441906647507, 'nesterovs_momentum': False}"
19,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (196, 111), 'alpha': 4.839433022732259, 'max_iter': 140}","{'solver': 'adam', 'learning_rate_init': 0.7354836714129932, 'activation': 'logistic', 'hidden_layer_sizes': (104,), 'alpha': 1.568653412575605, 'max_iter': 519, 'batch_size': 110, 'shuffle': False, 'beta_1': 0.9418489396064436, 'beta_2': 0.9077953312170252}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.26976649262430735, 'activation': 'logistic', 'hidden_layer_sizes': (78, 154, 27), 'alpha': 0, 'max_iter': 714, 'batch_size': 380, 'shuffle': False, 'momentum': 0.0613080787086987, 'nesterovs_momentum': False}"
20,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (181, 64, 48, 26, 34), 'alpha': 4.024512263299745, 'max_iter': 134}","{'solver': 'adam', 'learning_rate_init': 0.3204120326408525, 'activation': 'relu', 'hidden_layer_sizes': (46,), 'alpha': 0.8770675289282921, 'max_iter': 761, 'batch_size': 118, 'shuffle': False, 'beta_1': 0.8502533362581538, 'beta_2': 0.6880205389133449}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4326942733188792, 'activation': 'logistic', 'hidden_layer_sizes': (181, 116), 'alpha': 0, 'max_iter': 130, 'batch_size': 294, 'shuffle': True, 'momentum': 0.04819792155994972, 'nesterovs_momentum': False}"
21,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (52, 1, 51, 179), 'alpha': 0, 'max_iter': 209}","{'solver': 'adam', 'learning_rate_init': 0.1259246639790086, 'activation': 'relu', 'hidden_layer_sizes': (159, 136, 83), 'alpha': 0.42165687302658134, 'max_iter': 113, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.369661320135111, 'beta_2': 0.2574051814043711}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2016839667075032, 'activation': 'logistic', 'hidden_layer_sizes': (69, 197, 183), 'alpha': 0, 'max_iter': 984, 'batch_size': 217, 'shuffle': True, 'momentum': 0.2135854084723248, 'nesterovs_momentum': False}"
22,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (140, 150, 103, 130, 137), 'alpha': 0, 'max_iter': 402}","{'solver': 'adam', 'learning_rate_init': 0.2791488818039338, 'activation': 'logistic', 'hidden_layer_sizes': (166, 9), 'alpha': 2.2328564712527434, 'max_iter': 706, 'batch_size': 190, 'shuffle': True, 'beta_1': 0.13228259204129453, 'beta_2': 0.4454343189549684}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7738784136462639, 'activation': 'logistic', 'hidden_layer_sizes': (94, 153), 'alpha': 0, 'max_iter': 105, 'batch_size': 149, 'shuffle': True, 'momentum': 0.34117067010107155, 'nesterovs_momentum': True}"
23,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (52, 4, 18, 126), 'alpha': 0, 'max_iter': 978}","{'solver': 'adam', 'learning_rate_init': 0.10606545553081044, 'activation': 'tanh', 'hidden_layer_sizes': (165, 87), 'alpha': 3.6430747294875148, 'max_iter': 772, 'batch_size': 206, 'shuffle': False, 'beta_1': 0.8921679035847883, 'beta_2': 0.7739782165404628}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2731361924425752, 'activation': 'logistic', 'hidden_layer_sizes': (164, 29, 124, 19), 'alpha': 0, 'max_iter': 52, 'batch_size': 162, 'shuffle': True, 'momentum': 0.8325605403076676, 'nesterovs_momentum': False}"
24,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (177, 151, 18, 194, 24), 'alpha': 0, 'max_iter': 863}","{'solver': 'adam', 'learning_rate_init': 0.18496677443303683, 'activation': 'logistic', 'hidden_layer_sizes': (129, 4), 'alpha': 0, 'max_iter': 387, 'batch_size': 204, 'shuffle': False, 'beta_1': 0.4849630942378175, 'beta_2': 0.6524709172942714}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5921842064279006, 'activation': 'relu', 'hidden_layer_sizes': (148, 51, 95, 141, 113), 'alpha': 0, 'max_iter': 517, 'batch_size': 270, 'shuffle': False, 'momentum': 0.5566649024531838, 'nesterovs_momentum': False}"
25,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (22, 25), 'alpha': 4.811010055111932, 'max_iter': 618}","{'solver': 'adam', 'learning_rate_init': 0.12781454373344225, 'activation': 'relu', 'hidden_layer_sizes': (14, 14, 19, 104), 'alpha': 0, 'max_iter': 539, 'batch_size': 108, 'shuffle': True, 'beta_1': 0.6478560149934619, 'beta_2': 0.5528643313760899}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.02874668558475574, 'activation': 'logistic', 'hidden_layer_sizes': (45,), 'alpha': 2.9406606581124377, 'max_iter': 203, 'batch_size': 311, 'shuffle': True, 'momentum': 0.18258710623719804, 'nesterovs_momentum': False}"
26,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (80, 126, 39, 181, 87), 'alpha': 3.676186368514508, 'max_iter': 520}","{'solver': 'adam', 'learning_rate_init': 0.13376025198036376, 'activation': 'logistic', 'hidden_layer_sizes': (199, 119, 60, 27, 69), 'alpha': 0, 'max_iter': 280, 'batch_size': 286, 'shuffle': True, 'beta_1': 0.47575944151653865, 'beta_2': 0.7815291655104439}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2288095734121472, 'activation': 'logistic', 'hidden_layer_sizes': (194, 155, 120, 52, 154), 'alpha': 0, 'max_iter': 261, 'batch_size': 210, 'shuffle': True, 'momentum': 0.10931937094015888, 'nesterovs_momentum': True}"
27,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (123, 89), 'alpha': 4.329166552796368, 'max_iter': 422}","{'solver': 'adam', 'learning_rate_init': 0.2575059702241314, 'activation': 'relu', 'hidden_layer_sizes': (95, 84), 'alpha': 0, 'max_iter': 501, 'batch_size': 102, 'shuffle': False, 'beta_1': 0.3478487853308483, 'beta_2': 0.13556465273312124}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7766228689596089, 'activation': 'logistic', 'hidden_layer_sizes': (4, 75, 81), 'alpha': 0.852521563868562, 'max_iter': 691, 'batch_size': 55, 'shuffle': True, 'momentum': 0.44978032937306506, 'nesterovs_momentum': True}"
28,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (38, 162, 198, 75), 'alpha': 0, 'max_iter': 670}","{'solver': 'adam', 'learning_rate_init': 0.3496800034821453, 'activation': 'tanh', 'hidden_layer_sizes': (91, 100, 2), 'alpha': 0, 'max_iter': 628, 'batch_size': 205, 'shuffle': False, 'beta_1': 0.5408110677501251, 'beta_2': 0.7050316536308473}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.23694256463188976, 'activation': 'logistic', 'hidden_layer_sizes': (70, 193, 148), 'alpha': 0, 'max_iter': 513, 'batch_size': 170, 'shuffle': True, 'momentum': 0.9158386164811205, 'nesterovs_momentum': False}"
29,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (160, 176), 'alpha': 4.264822276189025, 'max_iter': 727}","{'solver': 'adam', 'learning_rate_init': 0.6379359130247617, 'activation': 'relu', 'hidden_layer_sizes': (123, 98), 'alpha': 0, 'max_iter': 836, 'batch_size': 72, 'shuffle': False, 'beta_1': 0.5809322082570421, 'beta_2': 0.6081233200788225}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6947743386611778, 'activation': 'logistic', 'hidden_layer_sizes': (123, 21, 10, 25, 90), 'alpha': 0, 'max_iter': 515, 'batch_size': 105, 'shuffle': True, 'momentum': 0.7964665391253879, 'nesterovs_momentum': True}"
