,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT"
No RST and No RWT Frequency,13,13
RST Frequency,6,4
RWT Frequency,11,13
