,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2163602326586344, 'activation': 'relu', 'hidden_layer_sizes': (4,), 'alpha': 4.9142766343566056, 'max_iter': 785, 'batch_size': 82, 'shuffle': True, 'momentum': 0.4279738747807032, 'nesterovs_momentum': False}"
1,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (174, 73, 158), 'alpha': 4.797168339987324, 'max_iter': 17}"
2,"{'solver': 'adam', 'learning_rate_init': 0.4821920719656482, 'activation': 'logistic', 'hidden_layer_sizes': (28, 33), 'alpha': 1.4419782174145006, 'max_iter': 295, 'batch_size': 324, 'shuffle': False, 'beta_1': 0.8632296471503246, 'beta_2': 0.5456075180347116}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (5, 43, 34), 'alpha': 0, 'max_iter': 18}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5540187275954217, 'activation': 'relu', 'hidden_layer_sizes': (77, 38, 155, 5), 'alpha': 0, 'max_iter': 722, 'batch_size': 171, 'shuffle': False, 'momentum': 0.5553844233283683, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0713673084013773, 'activation': 'logistic', 'hidden_layer_sizes': (75, 10), 'alpha': 1.3345220523295356, 'max_iter': 683, 'batch_size': 297, 'shuffle': True, 'momentum': 0.11083534174350283, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 0.954574350973837, 'activation': 'logistic', 'hidden_layer_sizes': (156,), 'alpha': 4.827734303817197, 'max_iter': 313, 'batch_size': 189, 'shuffle': False, 'beta_1': 0.6554822750179292, 'beta_2': 0.9410535057593731}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (58, 39, 170, 4), 'alpha': 0, 'max_iter': 532}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5549817119879922, 'activation': 'relu', 'hidden_layer_sizes': (165, 137), 'alpha': 4.191895243731141, 'max_iter': 384, 'batch_size': 139, 'shuffle': False, 'momentum': 0.12187653435416099, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 0.11637199008272725, 'activation': 'relu', 'hidden_layer_sizes': (163, 101, 45, 78, 197), 'alpha': 0, 'max_iter': 509, 'batch_size': 76, 'shuffle': True, 'beta_1': 0.6615488045871745, 'beta_2': 0.5326137993004241}"
10,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (11, 97, 102, 12), 'alpha': 0, 'max_iter': 521}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.02105012301485963, 'activation': 'logistic', 'hidden_layer_sizes': (190, 10, 19, 108), 'alpha': 0.4739821447724777, 'max_iter': 369, 'batch_size': 218, 'shuffle': True, 'momentum': 0.04940133036047618, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 0.11411325735547755, 'activation': 'logistic', 'hidden_layer_sizes': (37,), 'alpha': 2.6916692677926375, 'max_iter': 48, 'batch_size': 197, 'shuffle': True, 'beta_1': 0.8403503550138047, 'beta_2': 0.3910296640218339}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6302532539992921, 'activation': 'logistic', 'hidden_layer_sizes': (37, 51, 68, 111), 'alpha': 2.7247592163448764, 'max_iter': 510, 'batch_size': 153, 'shuffle': False, 'momentum': 0.4324336740862844, 'nesterovs_momentum': True}"
14,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (129, 90, 72, 194), 'alpha': 0, 'max_iter': 38}"
15,"{'solver': 'adam', 'learning_rate_init': 0.5825082434768344, 'activation': 'relu', 'hidden_layer_sizes': (13, 62, 76, 3), 'alpha': 0, 'max_iter': 173, 'batch_size': 131, 'shuffle': False, 'beta_1': 0.5216266990677395, 'beta_2': 0.5250344575978518}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1283139084883497, 'activation': 'relu', 'hidden_layer_sizes': (86, 147, 96, 72, 189), 'alpha': 0.44530983207663444, 'max_iter': 591, 'batch_size': 63, 'shuffle': True, 'momentum': 0.8602694504420668, 'nesterovs_momentum': True}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (119, 40), 'alpha': 4.83050426439465, 'max_iter': 497}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.20281798612188726, 'activation': 'tanh', 'hidden_layer_sizes': (134, 54, 194, 148, 175), 'alpha': 4.916446821856646, 'max_iter': 337, 'batch_size': 273, 'shuffle': True, 'momentum': 0.3385441906647507, 'nesterovs_momentum': False}"
19,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (196, 111), 'alpha': 4.839433022732259, 'max_iter': 140}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4326942733188792, 'activation': 'logistic', 'hidden_layer_sizes': (181, 116), 'alpha': 0, 'max_iter': 130, 'batch_size': 294, 'shuffle': True, 'momentum': 0.04819792155994972, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2016839667075032, 'activation': 'logistic', 'hidden_layer_sizes': (69, 197, 183), 'alpha': 0, 'max_iter': 984, 'batch_size': 217, 'shuffle': True, 'momentum': 0.2135854084723248, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7738784136462639, 'activation': 'logistic', 'hidden_layer_sizes': (94, 153), 'alpha': 0, 'max_iter': 105, 'batch_size': 149, 'shuffle': True, 'momentum': 0.34117067010107155, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 0.10606545553081044, 'activation': 'tanh', 'hidden_layer_sizes': (165, 87), 'alpha': 3.6430747294875148, 'max_iter': 772, 'batch_size': 206, 'shuffle': False, 'beta_1': 0.8921679035847883, 'beta_2': 0.7739782165404628}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5921842064279006, 'activation': 'relu', 'hidden_layer_sizes': (148, 51, 95, 141, 113), 'alpha': 0, 'max_iter': 517, 'batch_size': 270, 'shuffle': False, 'momentum': 0.5566649024531838, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.02874668558475574, 'activation': 'logistic', 'hidden_layer_sizes': (45,), 'alpha': 2.9406606581124377, 'max_iter': 203, 'batch_size': 311, 'shuffle': True, 'momentum': 0.18258710623719804, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2288095734121472, 'activation': 'logistic', 'hidden_layer_sizes': (194, 155, 120, 52, 154), 'alpha': 0, 'max_iter': 261, 'batch_size': 210, 'shuffle': True, 'momentum': 0.10931937094015888, 'nesterovs_momentum': True}"
27,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (123, 89), 'alpha': 4.329166552796368, 'max_iter': 422}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.23694256463188976, 'activation': 'logistic', 'hidden_layer_sizes': (70, 193, 148), 'alpha': 0, 'max_iter': 513, 'batch_size': 170, 'shuffle': True, 'momentum': 0.9158386164811205, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6947743386611778, 'activation': 'logistic', 'hidden_layer_sizes': (123, 21, 10, 25, 90), 'alpha': 0, 'max_iter': 515, 'batch_size': 105, 'shuffle': True, 'momentum': 0.7964665391253879, 'nesterovs_momentum': True}"
