,MLP (ADAM),MLP (SGD)
0,1.80262135449898,5.672917662880677
1,4.469921076918196,0.6066177778875527
2,5.3879012245293945,0.2810156700672145
3,4.541053575185526,3.9118208714689486
4,0.847485234254163,0.2991261424349938
5,1.2780112376884256,8.58539863883969
6,2.653015042682535,8.083007626401592
7,8.072918078749215,2.8925797975626697
8,1.3707672805189195,2.857604649194408
9,7.3561319049005816,1.3530549540989683
10,3.7837588676423506,9.509388423000212
11,4.262473422021366,6.825212760167459
12,9.55306550054152,9.868253110149793
13,2.71252658946346,6.522670700712076
14,0.8533205802948337,2.2368233777751603
15,6.047633622572741,9.697173257222534
16,2.644174218540239,1.0593589455941685
17,1.7330298367682504,2.647876918073095
18,1.4490630904182262,1.4082832697724563
19,0.3654717922530628,8.440489005973285
20,4.60849056815046,9.889405535502553
21,2.670713583592861,8.806465484532476
22,4.357044767798173,1.747608302355673
23,9.438033340558349,6.862014313928788
24,0.679445210967838,7.312423055110314
25,1.0867328072731963,1.055628842077192
26,4.595866505724413,0.733814696223868
27,9.042565061923671,1.7161553263592941
28,3.543652160875697,8.273801075674422
29,5.301069650456033,6.847832713007236
