,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.889405535502553, 'activation': 'relu', 'hidden_layer_sizes': (96, 95, 104), 'alpha': 2.2830266959358667, 'max_iter': 430, 'batch_size': 86, 'shuffle': False, 'momentum': 0.31829449507646557, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.806465484532476, 'activation': 'tanh', 'hidden_layer_sizes': (130,), 'alpha': 5.535318363147026, 'max_iter': 260, 'batch_size': 168, 'shuffle': False, 'momentum': 0.9712357650508918, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.747608302355673, 'activation': 'logistic', 'hidden_layer_sizes': (55, 173, 141, 31), 'alpha': 7.888327650196274, 'max_iter': 394, 'batch_size': 73, 'shuffle': True, 'momentum': 0.264166992958162, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.862014313928788, 'activation': 'tanh', 'hidden_layer_sizes': (155, 27, 155), 'alpha': 0.7728836142319642, 'max_iter': 80, 'batch_size': 135, 'shuffle': False, 'momentum': 0.4676852720176092, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.312423055110314, 'activation': 'logistic', 'hidden_layer_sizes': (132,), 'alpha': 1.8103227708299015, 'max_iter': 419, 'batch_size': 98, 'shuffle': False, 'momentum': 0.3118114015027042, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.055628842077192, 'activation': 'relu', 'hidden_layer_sizes': (12, 178), 'alpha': 5.985775410545532, 'max_iter': 123, 'batch_size': 54, 'shuffle': False, 'momentum': 0.02930905489069415, 'nesterovs_momentum': True}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.733814696223868, 'activation': 'relu', 'hidden_layer_sizes': (117, 26, 184), 'alpha': 3.9286437370388585, 'max_iter': 224, 'batch_size': 148, 'shuffle': False, 'momentum': 0.36450462259104016, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.7161553263592941, 'activation': 'tanh', 'hidden_layer_sizes': (27, 3), 'alpha': 9.95091464272904, 'max_iter': 27, 'batch_size': 148, 'shuffle': False, 'momentum': 0.7137578865388604, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.273801075674422, 'activation': 'tanh', 'hidden_layer_sizes': (197, 191, 102, 194, 176), 'alpha': 4.882464732952607, 'max_iter': 387, 'batch_size': 74, 'shuffle': False, 'momentum': 0.911785635596956, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.847832713007236, 'activation': 'tanh', 'hidden_layer_sizes': (39, 22, 89), 'alpha': 3.3061919295736617, 'max_iter': 475, 'batch_size': 66, 'shuffle': True, 'momentum': 0.030724457336733554, 'nesterovs_momentum': True}"
