,MLP (ADAM)
0,0.7812974832437019
1,0.3564252135308689
2,0.020928616223746806
3,0.3051496889050455
4,0.33656230102641704
5,0.4875559437622339
6,0.9881209003585402
7,0.8490915821390005
8,0.8129151159164296
9,0.7024014808953178
10,0.46824915490343033
11,0.923116908510772
12,0.18826606624464837
13,0.6281648870617722
14,0.6802186279564072
15,0.8320335579783547
16,0.7415028548952873
17,0.4507800121020486
18,0.32847689829435656
19,0.47288981679788455
20,0.9668259037904361
21,0.9853487812173223
22,0.8332284710002275
23,0.6664190807117187
24,0.15720852516840086
25,0.043481880387941214
26,0.3398450827786833
27,0.01035826278565992
28,0.5607165421809016
29,0.865244066604504
