,MLP
0,0.7291666666666666
1,0.7291666666666666
2,0.7291666666666666
3,0.7291666666666666
4,0.7291666666666666
5,0.27299703264094954
6,0.7270029673590505
7,0.27299703264094954
8,0.7270029673590505
9,0.7270029673590505
10,0.27299703264094954
11,0.7270029673590505
12,0.7270029673590505
13,0.27299703264094954
14,0.27218934911242604
15,0.727810650887574
16,0.727810650887574
17,0.727810650887574
18,0.727810650887574
19,0.727810650887574
20,0.27218934911242604
21,0.27218934911242604
22,0.727810650887574
23,0.27218934911242604
24,0.727810650887574
25,0.727810650887574
26,0.727810650887574
27,0.727810650887574
28,0.27218934911242604
29,0.727810650887574
