,MLP (ADAM),MLP (SGD)
11,"{'solver': 'adam', 'learning_rate_init': 4.262473422021366, 'activation': 'tanh', 'hidden_layer_sizes': (153, 123, 110, 79), 'alpha': 0.40802691793399115, 'max_iter': 356, 'batch_size': 62, 'shuffle': False, 'beta_1': 0.923116908510772, 'beta_2': 0.5452125917806748}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.825212760167459, 'activation': 'logistic', 'hidden_layer_sizes': (21, 120), 'alpha': 2.387635877157705, 'max_iter': 335, 'batch_size': 163, 'shuffle': False, 'momentum': 0.2777188563816444, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 9.55306550054152, 'activation': 'tanh', 'hidden_layer_sizes': (195, 100, 131), 'alpha': 6.507280210466909, 'max_iter': 11, 'batch_size': 166, 'shuffle': True, 'beta_1': 0.18826606624464837, 'beta_2': 0.4494468178323699}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.868253110149793, 'activation': 'logistic', 'hidden_layer_sizes': (117, 194, 175, 186, 199), 'alpha': 3.0083146305114417, 'max_iter': 160, 'batch_size': 116, 'shuffle': False, 'momentum': 0.5416131327610595, 'nesterovs_momentum': False}"
13,"{'solver': 'adam', 'learning_rate_init': 2.71252658946346, 'activation': 'relu', 'hidden_layer_sizes': (20, 44, 92, 63, 33), 'alpha': 2.7918121780599705, 'max_iter': 480, 'batch_size': 124, 'shuffle': False, 'beta_1': 0.6281648870617722, 'beta_2': 0.5486513176800876}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.522670700712076, 'activation': 'tanh', 'hidden_layer_sizes': (160,), 'alpha': 7.255537617271812, 'max_iter': 410, 'batch_size': 151, 'shuffle': False, 'momentum': 0.40401901316851996, 'nesterovs_momentum': False}"
14,"{'solver': 'adam', 'learning_rate_init': 0.8533205802948337, 'activation': 'relu', 'hidden_layer_sizes': (30,), 'alpha': 5.832937089163442, 'max_iter': 191, 'batch_size': 57, 'shuffle': False, 'beta_1': 0.6802186279564072, 'beta_2': 0.817037786940727}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.2368233777751603, 'activation': 'logistic', 'hidden_layer_sizes': (34, 178), 'alpha': 5.374076346008472, 'max_iter': 26, 'batch_size': 146, 'shuffle': True, 'momentum': 0.1670567293040923, 'nesterovs_momentum': True}"
15,"{'solver': 'adam', 'learning_rate_init': 6.047633622572741, 'activation': 'logistic', 'hidden_layer_sizes': (148, 109, 127, 61, 78), 'alpha': 5.097352995010665, 'max_iter': 293, 'batch_size': 79, 'shuffle': False, 'beta_1': 0.8320335579783547, 'beta_2': 0.16433819726761217}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.697173257222534, 'activation': 'relu', 'hidden_layer_sizes': (149, 44), 'alpha': 0.6745593743197155, 'max_iter': 487, 'batch_size': 120, 'shuffle': False, 'momentum': 0.05459509680298726, 'nesterovs_momentum': True}"
16,"{'solver': 'adam', 'learning_rate_init': 2.644174218540239, 'activation': 'logistic', 'hidden_layer_sizes': (123, 55, 4, 122, 107), 'alpha': 2.4474668735059177, 'max_iter': 285, 'batch_size': 113, 'shuffle': True, 'beta_1': 0.7415028548952873, 'beta_2': 0.709678085586994}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0593589455941685, 'activation': 'tanh', 'hidden_layer_sizes': (158, 60, 21), 'alpha': 4.3045096808741485, 'max_iter': 57, 'batch_size': 56, 'shuffle': False, 'momentum': 0.005532121089889359, 'nesterovs_momentum': True}"
17,"{'solver': 'adam', 'learning_rate_init': 1.7330298367682504, 'activation': 'tanh', 'hidden_layer_sizes': (68, 35, 119, 103), 'alpha': 2.255029763795591, 'max_iter': 282, 'batch_size': 80, 'shuffle': False, 'beta_1': 0.4507800121020486, 'beta_2': 0.18474819113021662}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.647876918073095, 'activation': 'logistic', 'hidden_layer_sizes': (100, 111, 176, 44, 40), 'alpha': 9.173247789695848, 'max_iter': 495, 'batch_size': 63, 'shuffle': False, 'momentum': 0.05243966232980636, 'nesterovs_momentum': True}"
18,"{'solver': 'adam', 'learning_rate_init': 1.4490630904182262, 'activation': 'relu', 'hidden_layer_sizes': (41,), 'alpha': 5.969103475274332, 'max_iter': 461, 'batch_size': 146, 'shuffle': False, 'beta_1': 0.32847689829435656, 'beta_2': 0.7034155309587092}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4082832697724563, 'activation': 'logistic', 'hidden_layer_sizes': (155, 17, 45), 'alpha': 7.8913380245325095, 'max_iter': 361, 'batch_size': 94, 'shuffle': False, 'momentum': 0.8940601954710277, 'nesterovs_momentum': True}"
19,"{'solver': 'adam', 'learning_rate_init': 0.3654717922530628, 'activation': 'relu', 'hidden_layer_sizes': (160, 7), 'alpha': 2.423293426192702, 'max_iter': 198, 'batch_size': 118, 'shuffle': True, 'beta_1': 0.47288981679788455, 'beta_2': 0.52461913518294}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.440489005973285, 'activation': 'logistic', 'hidden_layer_sizes': (70, 72, 16, 54), 'alpha': 1.5202837018825017, 'max_iter': 251, 'batch_size': 140, 'shuffle': True, 'momentum': 0.3745954090410454, 'nesterovs_momentum': True}"
20,"{'solver': 'adam', 'learning_rate_init': 4.60849056815046, 'activation': 'logistic', 'hidden_layer_sizes': (143, 70, 174, 70, 55), 'alpha': 5.047496633751028, 'max_iter': 199, 'batch_size': 88, 'shuffle': True, 'beta_1': 0.9668259037904361, 'beta_2': 0.972194554867376}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.889405535502553, 'activation': 'relu', 'hidden_layer_sizes': (96, 95, 104), 'alpha': 2.2830266959358667, 'max_iter': 430, 'batch_size': 86, 'shuffle': False, 'momentum': 0.31829449507646557, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 2.670713583592861, 'activation': 'relu', 'hidden_layer_sizes': (49, 169, 23, 95, 45), 'alpha': 8.390496073225878, 'max_iter': 356, 'batch_size': 89, 'shuffle': False, 'beta_1': 0.9853487812173223, 'beta_2': 0.2983130909767654}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.806465484532476, 'activation': 'tanh', 'hidden_layer_sizes': (130,), 'alpha': 5.535318363147026, 'max_iter': 260, 'batch_size': 168, 'shuffle': False, 'momentum': 0.9712357650508918, 'nesterovs_momentum': False}"
22,"{'solver': 'adam', 'learning_rate_init': 4.357044767798173, 'activation': 'relu', 'hidden_layer_sizes': (148,), 'alpha': 1.1586959407709543, 'max_iter': 295, 'batch_size': 164, 'shuffle': False, 'beta_1': 0.8332284710002275, 'beta_2': 0.9877420004942062}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.747608302355673, 'activation': 'logistic', 'hidden_layer_sizes': (55, 173, 141, 31), 'alpha': 7.888327650196274, 'max_iter': 394, 'batch_size': 73, 'shuffle': True, 'momentum': 0.264166992958162, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 9.438033340558349, 'activation': 'relu', 'hidden_layer_sizes': (197,), 'alpha': 5.131269160957101, 'max_iter': 333, 'batch_size': 75, 'shuffle': True, 'beta_1': 0.6664190807117187, 'beta_2': 0.20664058876714583}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.862014313928788, 'activation': 'tanh', 'hidden_layer_sizes': (155, 27, 155), 'alpha': 0.7728836142319642, 'max_iter': 80, 'batch_size': 135, 'shuffle': False, 'momentum': 0.4676852720176092, 'nesterovs_momentum': True}"
24,"{'solver': 'adam', 'learning_rate_init': 0.679445210967838, 'activation': 'logistic', 'hidden_layer_sizes': (56, 137, 138, 52), 'alpha': 9.71387479487407, 'max_iter': 64, 'batch_size': 122, 'shuffle': True, 'beta_1': 0.15720852516840086, 'beta_2': 0.6668632952893024}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.312423055110314, 'activation': 'logistic', 'hidden_layer_sizes': (132,), 'alpha': 1.8103227708299015, 'max_iter': 419, 'batch_size': 98, 'shuffle': False, 'momentum': 0.3118114015027042, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 1.0867328072731963, 'activation': 'relu', 'hidden_layer_sizes': (133,), 'alpha': 2.9781040942309733, 'max_iter': 215, 'batch_size': 151, 'shuffle': False, 'beta_1': 0.043481880387941214, 'beta_2': 0.40557204282441023}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.055628842077192, 'activation': 'relu', 'hidden_layer_sizes': (12, 178), 'alpha': 5.985775410545532, 'max_iter': 123, 'batch_size': 54, 'shuffle': False, 'momentum': 0.02930905489069415, 'nesterovs_momentum': True}"
26,"{'solver': 'adam', 'learning_rate_init': 4.595866505724413, 'activation': 'tanh', 'hidden_layer_sizes': (20, 29, 9, 179, 153), 'alpha': 0.7611807610901578, 'max_iter': 94, 'batch_size': 131, 'shuffle': False, 'beta_1': 0.3398450827786833, 'beta_2': 0.6582090106803138}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.733814696223868, 'activation': 'relu', 'hidden_layer_sizes': (117, 26, 184), 'alpha': 3.9286437370388585, 'max_iter': 224, 'batch_size': 148, 'shuffle': False, 'momentum': 0.36450462259104016, 'nesterovs_momentum': True}"
27,"{'solver': 'adam', 'learning_rate_init': 9.042565061923671, 'activation': 'logistic', 'hidden_layer_sizes': (80,), 'alpha': 2.0479588515827487, 'max_iter': 9, 'batch_size': 119, 'shuffle': False, 'beta_1': 0.01035826278565992, 'beta_2': 0.23011064639702272}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.7161553263592941, 'activation': 'tanh', 'hidden_layer_sizes': (27, 3), 'alpha': 9.95091464272904, 'max_iter': 27, 'batch_size': 148, 'shuffle': False, 'momentum': 0.7137578865388604, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 3.543652160875697, 'activation': 'logistic', 'hidden_layer_sizes': (190, 149, 159, 45), 'alpha': 7.504553092810593, 'max_iter': 266, 'batch_size': 55, 'shuffle': False, 'beta_1': 0.5607165421809016, 'beta_2': 0.45242829245305444}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.273801075674422, 'activation': 'tanh', 'hidden_layer_sizes': (197, 191, 102, 194, 176), 'alpha': 4.882464732952607, 'max_iter': 387, 'batch_size': 74, 'shuffle': False, 'momentum': 0.911785635596956, 'nesterovs_momentum': False}"
29,"{'solver': 'adam', 'learning_rate_init': 5.301069650456033, 'activation': 'tanh', 'hidden_layer_sizes': (139, 126, 128, 37, 73), 'alpha': 5.777435668474692, 'max_iter': 392, 'batch_size': 96, 'shuffle': False, 'beta_1': 0.865244066604504, 'beta_2': 0.11258091410147235}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.847832713007236, 'activation': 'tanh', 'hidden_layer_sizes': (39, 22, 89), 'alpha': 3.3061919295736617, 'max_iter': 475, 'batch_size': 66, 'shuffle': True, 'momentum': 0.030724457336733554, 'nesterovs_momentum': True}"
