,MLP (SGD)
0,0.9726398626266952
1,0.37882558349007006
2,0.08958335232801796
3,0.005548570130972472
4,0.15065397444501866
5,0.28436836641984914
6,0.7315497867728703
7,0.9671009256446593
8,0.4473676757904105
9,0.13451995100793293
10,0.5971879100658
11,0.2777188563816444
12,0.5416131327610595
13,0.40401901316851996
14,0.1670567293040923
15,0.05459509680298726
16,0.005532121089889359
17,0.05243966232980636
18,0.8940601954710277
19,0.3745954090410454
20,0.31829449507646557
21,0.9712357650508918
22,0.264166992958162
23,0.4676852720176092
24,0.3118114015027042
25,0.02930905489069415
26,0.36450462259104016
27,0.7137578865388604
28,0.911785635596956
29,0.030724457336733554
