,MLP (ADAM),MLP (SGD)
0,113,51
1,66,134
2,133,162
3,74,166
4,164,161
5,111,84
6,128,144
7,134,89
8,155,166
9,68,141
10,62,133
11,62,163
12,166,116
13,124,151
14,57,146
15,79,120
16,113,56
17,80,63
18,146,94
19,118,140
20,88,86
21,89,168
22,164,73
23,75,135
24,122,98
25,151,54
26,131,148
27,119,148
28,55,74
29,96,66
