,MLP (ADAM)
0,0.8625082602581051
1,0.4411238512266752
2,0.7636663122496546
3,0.25040997179133845
4,0.8012602787675587
5,0.7441440465605242
6,0.06169019652895083
7,0.4440947077188947
8,0.5804610424658043
9,0.47776908322533307
10,0.8771624299513531
11,0.255570189294286
12,0.2932120745565322
13,0.28196631622576634
14,0.21587646418501438
15,0.3663886285218312
16,0.2630808925902424
17,0.8495367693839684
18,0.5200109987538367
19,0.995048716146417
20,0.03327639731071685
21,0.34267043454543
22,0.4953964939957504
23,0.5178538832826083
24,0.06954991329990412
25,0.6165518646307501
26,0.46281914806716773
27,0.7886302991229868
28,0.12056750619338252
29,0.1846101869873979
