,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.613589132176177, 'activation': 'relu', 'hidden_layer_sizes': (188, 110, 121, 65, 200), 'alpha': 4.000359199957209, 'max_iter': 362, 'batch_size': 1660, 'shuffle': True, 'momentum': 0.24865856411725118, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.257711980003332, 'activation': 'relu', 'hidden_layer_sizes': (40, 196, 77, 80), 'alpha': 4.493381045470844, 'max_iter': 107, 'batch_size': 2220, 'shuffle': False, 'momentum': 0.47794461028059365, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.346681097507186, 'activation': 'tanh', 'hidden_layer_sizes': (57, 154), 'alpha': 7.453691098962109, 'max_iter': 263, 'batch_size': 1186, 'shuffle': False, 'momentum': 0.9012753193088731, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4768144591610586, 'activation': 'relu', 'hidden_layer_sizes': (76, 92, 159, 24, 156), 'alpha': 9.211135264105092, 'max_iter': 373, 'batch_size': 2193, 'shuffle': False, 'momentum': 0.2861199596558831, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.1906848600007995, 'activation': 'relu', 'hidden_layer_sizes': (149, 63, 141, 200, 144), 'alpha': 7.633290102084628, 'max_iter': 220, 'batch_size': 63, 'shuffle': True, 'momentum': 0.5737258886208054, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.16949978358236875, 'activation': 'logistic', 'hidden_layer_sizes': (68, 125, 51, 109, 102), 'alpha': 6.14964838971917, 'max_iter': 258, 'batch_size': 1301, 'shuffle': True, 'momentum': 0.4898678782810644, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.1009805885520887, 'activation': 'logistic', 'hidden_layer_sizes': (174, 45, 10), 'alpha': 9.34356804757847, 'max_iter': 39, 'batch_size': 1559, 'shuffle': True, 'momentum': 0.017720411145310814, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.49684050590724277, 'activation': 'logistic', 'hidden_layer_sizes': (45, 166, 112), 'alpha': 2.1477767961896754, 'max_iter': 76, 'batch_size': 579, 'shuffle': True, 'momentum': 0.618949056853969, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9208557121961571, 'activation': 'logistic', 'hidden_layer_sizes': (116, 35), 'alpha': 2.577909513664964, 'max_iter': 227, 'batch_size': 1653, 'shuffle': True, 'momentum': 0.06277655951013006, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6027165279160033, 'activation': 'logistic', 'hidden_layer_sizes': (158, 77), 'alpha': 5.479838470017323, 'max_iter': 266, 'batch_size': 1291, 'shuffle': True, 'momentum': 0.8408309858313303, 'nesterovs_momentum': False}"
