,MLP (ADAM)
0,0.6985562166410789
1,0.4001825751207746
2,0.6199083514817515
3,0.847743699068431
4,0.10926758083588617
5,0.19024551907559376
6,0.6740813586344031
7,0.7295313682551435
8,0.9446138932302705
9,0.15340759842631155
10,0.6621045239326682
11,0.3958212176090149
12,0.749788959088124
13,0.7173912266704464
14,0.7423968600374959
15,0.6096326447125577
16,0.619694268637307
17,0.20697202938293896
18,0.7906599239250901
19,0.9209833767569144
20,0.423727892357794
21,0.38942989732606337
22,0.9754263141013918
23,0.5779787539158913
24,0.9977469555212224
25,0.5172637474418744
26,0.32409034088321936
27,0.5318910083807454
28,0.4115359979755511
29,0.4861363814173817
