,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.523942151340879, 'activation': 'relu', 'hidden_layer_sizes': (60,), 'alpha': 5.731844704316084, 'max_iter': 294, 'batch_size': 52, 'shuffle': False, 'momentum': 0.5944414249299517, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.245401286335312, 'activation': 'relu', 'hidden_layer_sizes': (191, 36, 129, 18), 'alpha': 6.852013280454392, 'max_iter': 170, 'batch_size': 126, 'shuffle': False, 'momentum': 0.09271534384544773, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.168590498129214, 'activation': 'logistic', 'hidden_layer_sizes': (112, 38, 62), 'alpha': 0.47386934324369967, 'max_iter': 326, 'batch_size': 233, 'shuffle': False, 'momentum': 0.4359086743228717, 'nesterovs_momentum': False}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6761455805673624, 'activation': 'logistic', 'hidden_layer_sizes': (32, 41), 'alpha': 2.791877216859513, 'max_iter': 343, 'batch_size': 239, 'shuffle': False, 'momentum': 0.919027801254809, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.315761955182863, 'activation': 'relu', 'hidden_layer_sizes': (9, 181, 7), 'alpha': 9.452385635995542, 'max_iter': 209, 'batch_size': 76, 'shuffle': True, 'momentum': 0.4621011818718408, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.332327845622892, 'activation': 'relu', 'hidden_layer_sizes': (8, 97, 22, 169), 'alpha': 5.842164567815537, 'max_iter': 343, 'batch_size': 56, 'shuffle': False, 'momentum': 0.7792470492907501, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.7614520774641584, 'activation': 'logistic', 'hidden_layer_sizes': (59, 25, 149, 141, 188), 'alpha': 1.873033725658624, 'max_iter': 404, 'batch_size': 267, 'shuffle': False, 'momentum': 0.12013896689820686, 'nesterovs_momentum': True}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.8438510579287977, 'activation': 'logistic', 'hidden_layer_sizes': (164, 166, 36, 80), 'alpha': 7.558814707424225, 'max_iter': 189, 'batch_size': 244, 'shuffle': False, 'momentum': 0.09833645784065778, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9702254714204168, 'activation': 'logistic', 'hidden_layer_sizes': (181, 23), 'alpha': 1.5862424419837375, 'max_iter': 73, 'batch_size': 127, 'shuffle': False, 'momentum': 0.2197902814261702, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3436375382939576, 'activation': 'relu', 'hidden_layer_sizes': (27, 157, 197), 'alpha': 1.3659657362763256, 'max_iter': 367, 'batch_size': 194, 'shuffle': True, 'momentum': 0.5286493592744893, 'nesterovs_momentum': True}"
