,MLP (ADAM),MLP (SGD)
10,"{'solver': 'adam', 'learning_rate_init': 9.408408537018957, 'activation': 'tanh', 'hidden_layer_sizes': (61, 42, 3, 134, 151), 'alpha': 2.397249439384236, 'max_iter': 118, 'batch_size': 104, 'shuffle': True, 'beta_1': 0.6621045239326682, 'beta_2': 0.09548398947870812}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.14241849961552164, 'activation': 'relu', 'hidden_layer_sizes': (41, 36), 'alpha': 3.5586684143947127, 'max_iter': 49, 'batch_size': 222, 'shuffle': True, 'momentum': 0.13824462045865782, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 7.908280314183634, 'activation': 'relu', 'hidden_layer_sizes': (190, 148, 129, 41, 136), 'alpha': 4.671003444512011, 'max_iter': 70, 'batch_size': 69, 'shuffle': True, 'beta_1': 0.3958212176090149, 'beta_2': 0.7579777155479237}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.21134957919043, 'activation': 'relu', 'hidden_layer_sizes': (53, 168, 26, 150), 'alpha': 8.249148070076606, 'max_iter': 393, 'batch_size': 145, 'shuffle': True, 'momentum': 0.20334841413724625, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 0.1432333672513782, 'activation': 'logistic', 'hidden_layer_sizes': (117,), 'alpha': 7.0228407108497, 'max_iter': 439, 'batch_size': 111, 'shuffle': False, 'beta_1': 0.749788959088124, 'beta_2': 0.494724240162169}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.258549295541497, 'activation': 'tanh', 'hidden_layer_sizes': (94, 126, 125), 'alpha': 2.335998037039205, 'max_iter': 254, 'batch_size': 88, 'shuffle': False, 'momentum': 0.14641472615533604, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 2.115426578113737, 'activation': 'relu', 'hidden_layer_sizes': (182,), 'alpha': 9.881314382333757, 'max_iter': 190, 'batch_size': 68, 'shuffle': True, 'beta_1': 0.7173912266704464, 'beta_2': 0.1223256955380448}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.059258374740089235, 'activation': 'relu', 'hidden_layer_sizes': (63, 81, 56), 'alpha': 3.921951510838861, 'max_iter': 308, 'batch_size': 88, 'shuffle': True, 'momentum': 0.2593810745772993, 'nesterovs_momentum': True}"
14,"{'solver': 'adam', 'learning_rate_init': 1.1203018493683685, 'activation': 'relu', 'hidden_layer_sizes': (172, 53), 'alpha': 4.1360486102077205, 'max_iter': 122, 'batch_size': 266, 'shuffle': True, 'beta_1': 0.7423968600374959, 'beta_2': 0.23280544313219406}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.71055640696384, 'activation': 'relu', 'hidden_layer_sizes': (5, 125, 13, 135, 65), 'alpha': 4.2003286328375715, 'max_iter': 30, 'batch_size': 94, 'shuffle': False, 'momentum': 0.39982716862473333, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 7.1372242205471705, 'activation': 'logistic', 'hidden_layer_sizes': (16, 147, 43, 119, 177), 'alpha': 3.8651179635198467, 'max_iter': 103, 'batch_size': 112, 'shuffle': False, 'beta_1': 0.6096326447125577, 'beta_2': 0.27953900462919073}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.047260494478768, 'activation': 'relu', 'hidden_layer_sizes': (151, 54), 'alpha': 8.310993206916494, 'max_iter': 288, 'batch_size': 84, 'shuffle': True, 'momentum': 0.07038303107590457, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 8.723342940193707, 'activation': 'relu', 'hidden_layer_sizes': (161,), 'alpha': 9.3821555350034, 'max_iter': 175, 'batch_size': 60, 'shuffle': True, 'beta_1': 0.619694268637307, 'beta_2': 0.7967036300237297}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4934242863097842, 'activation': 'relu', 'hidden_layer_sizes': (19, 44), 'alpha': 9.37363011332856, 'max_iter': 244, 'batch_size': 124, 'shuffle': False, 'momentum': 0.2807283938610055, 'nesterovs_momentum': False}"
17,"{'solver': 'adam', 'learning_rate_init': 3.0377984406669367, 'activation': 'relu', 'hidden_layer_sizes': (81, 113, 120, 186, 121), 'alpha': 3.9910725767839517, 'max_iter': 187, 'batch_size': 247, 'shuffle': False, 'beta_1': 0.20697202938293896, 'beta_2': 0.36717330540965987}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.660593031959249, 'activation': 'logistic', 'hidden_layer_sizes': (135, 136, 4), 'alpha': 2.9462370225122645, 'max_iter': 154, 'batch_size': 130, 'shuffle': False, 'momentum': 0.4048786699388379, 'nesterovs_momentum': False}"
18,"{'solver': 'adam', 'learning_rate_init': 4.371522979801109, 'activation': 'relu', 'hidden_layer_sizes': (178, 150, 30), 'alpha': 7.031583601777977, 'max_iter': 293, 'batch_size': 214, 'shuffle': True, 'beta_1': 0.7906599239250901, 'beta_2': 0.5825811488285458}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.029987883919067, 'activation': 'tanh', 'hidden_layer_sizes': (168, 72, 105, 186, 14), 'alpha': 7.381759364280966, 'max_iter': 114, 'batch_size': 66, 'shuffle': False, 'momentum': 0.5554196874307341, 'nesterovs_momentum': False}"
19,"{'solver': 'adam', 'learning_rate_init': 6.078844725732388, 'activation': 'relu', 'hidden_layer_sizes': (91, 108), 'alpha': 0.10038565639750298, 'max_iter': 9, 'batch_size': 106, 'shuffle': False, 'beta_1': 0.9209833767569144, 'beta_2': 0.2595125127455878}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.582202366316334, 'activation': 'relu', 'hidden_layer_sizes': (126, 49, 157, 51), 'alpha': 8.111922470983352, 'max_iter': 340, 'batch_size': 208, 'shuffle': False, 'momentum': 0.7088448882542359, 'nesterovs_momentum': True}"
