,MLP (ADAM),MLP (SGD)
10,"{'solver': 'adam', 'learning_rate_init': 1.017887832066923, 'activation': 'tanh', 'hidden_layer_sizes': (70, 105, 191, 137), 'alpha': 0.30787126004117427, 'max_iter': 163, 'batch_size': 401, 'shuffle': True, 'beta_1': 0.6736637173375049, 'beta_2': 0.4358755027731283}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.414805675245014, 'activation': 'logistic', 'hidden_layer_sizes': (65, 16, 91), 'alpha': 0.21207115061576304, 'max_iter': 288, 'batch_size': 289, 'shuffle': False, 'momentum': 0.6605577880130389, 'nesterovs_momentum': True}"
11,"{'solver': 'adam', 'learning_rate_init': 7.355829551917711, 'activation': 'relu', 'hidden_layer_sizes': (184,), 'alpha': 9.781380463694017, 'max_iter': 109, 'batch_size': 258, 'shuffle': True, 'beta_1': 0.7846629150986101, 'beta_2': 0.30954445966086613}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.2962639766888517, 'activation': 'relu', 'hidden_layer_sizes': (78, 66), 'alpha': 2.611956896279001, 'max_iter': 104, 'batch_size': 210, 'shuffle': True, 'momentum': 0.7793463378637897, 'nesterovs_momentum': True}"
12,"{'solver': 'adam', 'learning_rate_init': 8.338506344748925, 'activation': 'logistic', 'hidden_layer_sizes': (47,), 'alpha': 7.825060716646838, 'max_iter': 236, 'batch_size': 302, 'shuffle': False, 'beta_1': 0.7452378305431652, 'beta_2': 0.5981763401193894}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.919434105269904, 'activation': 'logistic', 'hidden_layer_sizes': (112,), 'alpha': 2.871578998438796, 'max_iter': 222, 'batch_size': 71, 'shuffle': False, 'momentum': 0.3770432512337219, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 3.9916035583303215, 'activation': 'tanh', 'hidden_layer_sizes': (131,), 'alpha': 4.854213307795009, 'max_iter': 395, 'batch_size': 395, 'shuffle': False, 'beta_1': 0.8814257470163225, 'beta_2': 0.11126694881224189}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03956257026497389, 'activation': 'relu', 'hidden_layer_sizes': (69, 183, 26, 192, 30), 'alpha': 9.567608919049547, 'max_iter': 419, 'batch_size': 297, 'shuffle': False, 'momentum': 0.5193966022343142, 'nesterovs_momentum': True}"
14,"{'solver': 'adam', 'learning_rate_init': 4.177231101868995, 'activation': 'logistic', 'hidden_layer_sizes': (195, 156), 'alpha': 8.424343747117799, 'max_iter': 92, 'batch_size': 272, 'shuffle': True, 'beta_1': 0.2847286099871743, 'beta_2': 0.2733917538557707}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6174700741922468, 'activation': 'relu', 'hidden_layer_sizes': (179, 139, 5), 'alpha': 7.446241322448028, 'max_iter': 289, 'batch_size': 128, 'shuffle': False, 'momentum': 0.3661791052944366, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 5.3884493354818686, 'activation': 'tanh', 'hidden_layer_sizes': (137,), 'alpha': 5.563177709171557, 'max_iter': 395, 'batch_size': 431, 'shuffle': False, 'beta_1': 0.7689384977564635, 'beta_2': 0.23017102091870772}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.9173747906100354, 'activation': 'relu', 'hidden_layer_sizes': (191, 150, 114, 40), 'alpha': 5.332022213213008, 'max_iter': 262, 'batch_size': 189, 'shuffle': True, 'momentum': 0.5733230289544152, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 9.99373828410795, 'activation': 'tanh', 'hidden_layer_sizes': (150,), 'alpha': 5.923549489438006, 'max_iter': 16, 'batch_size': 213, 'shuffle': True, 'beta_1': 0.5316850729661871, 'beta_2': 0.010523828445114134}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.416147983815438, 'activation': 'tanh', 'hidden_layer_sizes': (48,), 'alpha': 7.440798055836567, 'max_iter': 38, 'batch_size': 485, 'shuffle': True, 'momentum': 0.5512833353863753, 'nesterovs_momentum': True}"
17,"{'solver': 'adam', 'learning_rate_init': 9.460193354752839, 'activation': 'relu', 'hidden_layer_sizes': (196, 73), 'alpha': 7.640237286734163, 'max_iter': 264, 'batch_size': 236, 'shuffle': False, 'beta_1': 0.09704169421371142, 'beta_2': 0.8145930304743556}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.694396228315363, 'activation': 'logistic', 'hidden_layer_sizes': (135,), 'alpha': 1.8293746028513524, 'max_iter': 221, 'batch_size': 503, 'shuffle': True, 'momentum': 0.6728731860417932, 'nesterovs_momentum': True}"
18,"{'solver': 'adam', 'learning_rate_init': 2.9281185973925874, 'activation': 'relu', 'hidden_layer_sizes': (165,), 'alpha': 8.108483023550889, 'max_iter': 449, 'batch_size': 444, 'shuffle': False, 'beta_1': 0.8655257947889036, 'beta_2': 0.0902566443253584}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07867422017304326, 'activation': 'relu', 'hidden_layer_sizes': (112, 86), 'alpha': 2.567199444789608, 'max_iter': 431, 'batch_size': 487, 'shuffle': False, 'momentum': 0.04387372399646086, 'nesterovs_momentum': True}"
19,"{'solver': 'adam', 'learning_rate_init': 2.234327330979564, 'activation': 'relu', 'hidden_layer_sizes': (173, 167), 'alpha': 7.771085972332016, 'max_iter': 325, 'batch_size': 389, 'shuffle': True, 'beta_1': 0.92741083102821, 'beta_2': 0.09001528541937995}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.379925580379572, 'activation': 'relu', 'hidden_layer_sizes': (96, 179), 'alpha': 2.2019976374386747, 'max_iter': 28, 'batch_size': 508, 'shuffle': False, 'momentum': 0.5142466996487486, 'nesterovs_momentum': False}"
20,"{'solver': 'adam', 'learning_rate_init': 1.0069127179385897, 'activation': 'relu', 'hidden_layer_sizes': (85, 112, 62, 73), 'alpha': 8.58828674245049, 'max_iter': 128, 'batch_size': 343, 'shuffle': True, 'beta_1': 0.6065798105254486, 'beta_2': 0.18166711161116617}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.837548029722115, 'activation': 'relu', 'hidden_layer_sizes': (21, 14, 71, 126), 'alpha': 2.0623537386702817, 'max_iter': 94, 'batch_size': 194, 'shuffle': True, 'momentum': 0.9097141385422473, 'nesterovs_momentum': False}"
21,"{'solver': 'adam', 'learning_rate_init': 5.102162231222554, 'activation': 'relu', 'hidden_layer_sizes': (89, 68, 22), 'alpha': 3.9483977918026114, 'max_iter': 391, 'batch_size': 356, 'shuffle': True, 'beta_1': 0.5764621891154691, 'beta_2': 0.47892537672714314}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.544163388527622, 'activation': 'tanh', 'hidden_layer_sizes': (40, 146), 'alpha': 1.8871945722617705, 'max_iter': 101, 'batch_size': 70, 'shuffle': True, 'momentum': 0.36887707196405883, 'nesterovs_momentum': False}"
22,"{'solver': 'adam', 'learning_rate_init': 2.692765124885597, 'activation': 'relu', 'hidden_layer_sizes': (32, 170, 63, 113), 'alpha': 1.7996407920803874, 'max_iter': 80, 'batch_size': 289, 'shuffle': True, 'beta_1': 0.2829423728335048, 'beta_2': 0.8266527585984055}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5960794019549845, 'activation': 'logistic', 'hidden_layer_sizes': (52, 139), 'alpha': 2.467880296693593, 'max_iter': 396, 'batch_size': 130, 'shuffle': False, 'momentum': 0.5118766816371405, 'nesterovs_momentum': False}"
23,"{'solver': 'adam', 'learning_rate_init': 3.03663793584763, 'activation': 'relu', 'hidden_layer_sizes': (117, 128), 'alpha': 0.9952489500322007, 'max_iter': 96, 'batch_size': 101, 'shuffle': False, 'beta_1': 0.20224277112580638, 'beta_2': 0.5439798869092182}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.237048681368385, 'activation': 'logistic', 'hidden_layer_sizes': (142,), 'alpha': 1.9997892177562764, 'max_iter': 63, 'batch_size': 449, 'shuffle': True, 'momentum': 0.16915391724506132, 'nesterovs_momentum': False}"
24,"{'solver': 'adam', 'learning_rate_init': 2.461978775476066, 'activation': 'tanh', 'hidden_layer_sizes': (196, 32, 111), 'alpha': 6.074533462187104, 'max_iter': 120, 'batch_size': 355, 'shuffle': False, 'beta_1': 0.9541411163837589, 'beta_2': 0.6862059909119392}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0688276903269982, 'activation': 'logistic', 'hidden_layer_sizes': (184,), 'alpha': 8.087032454034448, 'max_iter': 242, 'batch_size': 69, 'shuffle': True, 'momentum': 0.025333964172534966, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 1.0187896709566098, 'activation': 'logistic', 'hidden_layer_sizes': (80, 34, 96), 'alpha': 7.906831748650627, 'max_iter': 456, 'batch_size': 385, 'shuffle': False, 'beta_1': 0.43798764801813495, 'beta_2': 0.4622826172608806}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.18518126351676, 'activation': 'relu', 'hidden_layer_sizes': (104, 159), 'alpha': 0.1510168165936519, 'max_iter': 475, 'batch_size': 260, 'shuffle': True, 'momentum': 0.652932400566748, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 7.3273326967211405, 'activation': 'relu', 'hidden_layer_sizes': (96, 158), 'alpha': 4.847244007128252, 'max_iter': 472, 'batch_size': 292, 'shuffle': False, 'beta_1': 0.47535068301561406, 'beta_2': 0.896693840719491}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.116232727695343, 'activation': 'tanh', 'hidden_layer_sizes': (182, 105, 103, 33), 'alpha': 7.170924943241153, 'max_iter': 121, 'batch_size': 314, 'shuffle': True, 'momentum': 0.649515148425349, 'nesterovs_momentum': False}"
27,"{'solver': 'adam', 'learning_rate_init': 3.5832240703613767, 'activation': 'relu', 'hidden_layer_sizes': (104, 169), 'alpha': 6.050423771423449, 'max_iter': 134, 'batch_size': 91, 'shuffle': False, 'beta_1': 0.8984908573319876, 'beta_2': 0.2456955394878495}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.225678396928541, 'activation': 'logistic', 'hidden_layer_sizes': (56, 85), 'alpha': 0.6626191484877245, 'max_iter': 373, 'batch_size': 235, 'shuffle': False, 'momentum': 0.827804276805049, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 4.000164800644974, 'activation': 'relu', 'hidden_layer_sizes': (191, 40, 91), 'alpha': 5.842432137802015, 'max_iter': 361, 'batch_size': 332, 'shuffle': True, 'beta_1': 0.5764029268394315, 'beta_2': 0.22239616875229556}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.421188876570439, 'activation': 'relu', 'hidden_layer_sizes': (141, 149), 'alpha': 5.15039165418926, 'max_iter': 487, 'batch_size': 229, 'shuffle': True, 'momentum': 0.6143713397712399, 'nesterovs_momentum': True}"
29,"{'solver': 'adam', 'learning_rate_init': 9.235730145294234, 'activation': 'logistic', 'hidden_layer_sizes': (42,), 'alpha': 4.529395776741379, 'max_iter': 10, 'batch_size': 125, 'shuffle': True, 'beta_1': 0.8085724318114994, 'beta_2': 0.0977856235919737}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.23005420454234, 'activation': 'relu', 'hidden_layer_sizes': (95,), 'alpha': 5.3757826604226215, 'max_iter': 76, 'batch_size': 375, 'shuffle': False, 'momentum': 0.9578817835760625, 'nesterovs_momentum': False}"
