,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.575509905235769, 'activation': 'relu', 'hidden_layer_sizes': (82, 100), 'alpha': 0.13973562977626747, 'max_iter': 445, 'batch_size': 219, 'shuffle': False, 'momentum': 0.8360675823648537, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.504555386481422, 'activation': 'relu', 'hidden_layer_sizes': (146, 17), 'alpha': 9.567995234392216, 'max_iter': 402, 'batch_size': 365, 'shuffle': False, 'momentum': 0.11031806651988874, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9222479222202533, 'activation': 'relu', 'hidden_layer_sizes': (122, 149), 'alpha': 2.8573372769740084, 'max_iter': 214, 'batch_size': 541, 'shuffle': False, 'momentum': 0.36021349521931584, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.9712633188934054, 'activation': 'tanh', 'hidden_layer_sizes': (37, 162), 'alpha': 7.9367385290621755, 'max_iter': 442, 'batch_size': 503, 'shuffle': True, 'momentum': 0.7783436559227341, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.95701330188519, 'activation': 'tanh', 'hidden_layer_sizes': (167, 126, 83), 'alpha': 3.6529975867002373, 'max_iter': 171, 'batch_size': 507, 'shuffle': True, 'momentum': 0.7315744558420602, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.8387599020406844, 'activation': 'logistic', 'hidden_layer_sizes': (3,), 'alpha': 8.182917518292395, 'max_iter': 353, 'batch_size': 330, 'shuffle': False, 'momentum': 0.31040291690099303, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.997145863380252, 'activation': 'logistic', 'hidden_layer_sizes': (146,), 'alpha': 8.605400865129159, 'max_iter': 471, 'batch_size': 234, 'shuffle': True, 'momentum': 0.031805129550126245, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.968799260548722, 'activation': 'relu', 'hidden_layer_sizes': (147, 184, 190, 63), 'alpha': 4.538282925005041, 'max_iter': 426, 'batch_size': 278, 'shuffle': False, 'momentum': 0.5628352666370575, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1263637513359952, 'activation': 'logistic', 'hidden_layer_sizes': (48,), 'alpha': 6.3815012485433735, 'max_iter': 133, 'batch_size': 160, 'shuffle': False, 'momentum': 0.4882572489684832, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34805083226936845, 'activation': 'relu', 'hidden_layer_sizes': (55,), 'alpha': 1.9801945284034457, 'max_iter': 41, 'batch_size': 273, 'shuffle': False, 'momentum': 0.5156400839267472, 'nesterovs_momentum': False}"
