,MLP (ADAM)
0,0.5405063360290102
1,0.1762699975185459
2,0.7602111714682461
3,0.28246769824649737
4,0.4209189604280937
5,0.43952309357336944
6,0.06267889550998565
7,0.09832532094927386
8,0.13572261122016144
9,0.8259415756093806
10,0.4358755027731283
11,0.30954445966086613
12,0.5981763401193894
13,0.11126694881224189
14,0.2733917538557707
15,0.23017102091870772
16,0.010523828445114134
17,0.8145930304743556
18,0.0902566443253584
19,0.09001528541937995
20,0.18166711161116617
21,0.47892537672714314
22,0.8266527585984055
23,0.5439798869092182
24,0.6862059909119392
25,0.4622826172608806
26,0.896693840719491
27,0.2456955394878495
28,0.22239616875229556
29,0.0977856235919737
