,MLP (ADAM)
0,0.13869730775048125
1,0.42081178110232165
2,0.8926613381155715
3,0.285937526533643
4,0.6055025473873682
5,0.8733016734175397
6,0.3461076985556802
7,0.3174650512928956
8,0.9505018335546851
9,0.25747077457580625
10,0.8855217697693454
11,0.2520285421073355
12,0.5938370379489387
13,0.5537007207124028
14,0.1367413790707951
15,0.8638864486450032
16,0.6325723539670487
17,0.6906833430333724
18,0.9813134351880793
19,0.1626565448874115
20,0.10859310729181479
21,0.36259694661907793
22,0.15661059079327103
23,0.686175561182068
24,0.7547655176122343
25,0.6224890395811317
26,0.9242231222404088
27,0.07685359521474905
28,0.3445881825359536
29,0.8985972193880128
