,MLP (ADAM)
0,0.048385986524822566
1,0.7684400307869161
2,0.08855693183683078
3,0.775038648988174
4,0.0940159684487138
5,0.843537609291965
6,0.5714294792068739
7,0.7066188244224914
8,0.56257008783359
9,0.5929692419847797
10,0.49759720334848584
11,0.7402429925210524
12,0.37488001255425335
13,0.7371576329217597
14,0.39405825777678505
15,0.8992294183714391
16,0.12088726097313657
17,0.020769360360124715
18,0.6401597939283963
19,0.6730877021712303
20,0.3196046468484512
21,0.2893478200295715
22,0.6854072594455873
23,0.7960721194513433
24,0.5563351781325964
25,0.7876803797050442
26,0.9684194357545116
27,0.25861664034502263
28,0.7226392006538322
29,0.3195111710041322
