,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT"
0,5.488354848094307,0.07269977776406246
1,6.664867001070265,9.310774582198064
2,8.818297573977812,5.252922936700183
3,2.3866165922080227,0.7277703041391907
4,5.292174316550003,8.839771048060786
5,5.168709532677981,0.3524773772334544
6,1.8297515217218383,6.506693946362989
7,4.059000615605737,3.2084482079710033
8,2.694460315374861,9.761710377742212
9,5.6710506223552715,1.098795631771245
10,6.861015993338354,1.9123068260611755
11,3.992982126289626,9.940175374819528
12,0.240880832246049,1.8269565325059303
13,1.2002147233354952,7.027309948137783
14,8.121955200197942,8.697586201355103
15,0.9768850374689143,2.064337127287521
16,8.440906237975314,2.4570558582663056
17,7.6762826918174625,1.2985987859882666
18,8.325127798421608,3.484791211018314
19,8.116207828565456,3.826342132174838
20,8.08764100051668,8.421352327492379
21,3.60434353879067,8.560755391882545
22,0.9614143788683288,1.835348552706596
23,6.623781648650075,2.528439877167618
24,7.769445697876928,0.19933762861288631
25,0.6407773518362238,8.960852004580934
26,0.027068343575423322,8.186366368139744
27,5.663427700856294,1.0512392175465504
28,2.742959922572132,1.121420524117503
29,3.6619140615381713,1.2665741547934912
