,MLP (ADAM),MLP (SGD)
10,"{'solver': 'adam', 'learning_rate_init': 0.12155178992318104, 'activation': 'tanh', 'hidden_layer_sizes': (107,), 'alpha': 9.154052652710702, 'max_iter': 354, 'batch_size': 927, 'shuffle': True, 'beta_1': 0.49759720334848584, 'beta_2': 0.8855217697693454}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.182772796583342, 'activation': 'tanh', 'hidden_layer_sizes': (62, 188, 41), 'alpha': 3.5795621435685607, 'max_iter': 276, 'batch_size': 1340, 'shuffle': True, 'momentum': 0.5138727430580202, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 9.605281539277298, 'activation': 'relu', 'hidden_layer_sizes': (179, 132), 'alpha': 3.183706136884585, 'max_iter': 485, 'batch_size': 1152, 'shuffle': True, 'beta_1': 0.7402429925210524, 'beta_2': 0.2520285421073355}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.262191246073155, 'activation': 'tanh', 'hidden_layer_sizes': (141, 185, 72, 135, 176), 'alpha': 6.1234913169254295, 'max_iter': 239, 'batch_size': 220, 'shuffle': False, 'momentum': 0.003169970837102061, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 6.99937962361279, 'activation': 'tanh', 'hidden_layer_sizes': (58,), 'alpha': 6.932468477753662, 'max_iter': 368, 'batch_size': 740, 'shuffle': False, 'beta_1': 0.37488001255425335, 'beta_2': 0.5938370379489387}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.838594171797519, 'activation': 'logistic', 'hidden_layer_sizes': (27, 71, 21, 160), 'alpha': 4.076977241469845, 'max_iter': 488, 'batch_size': 1112, 'shuffle': True, 'momentum': 0.8232431170738274, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 7.966255515605381, 'activation': 'tanh', 'hidden_layer_sizes': (56, 98, 57, 167, 21), 'alpha': 6.146232848505262, 'max_iter': 370, 'batch_size': 1092, 'shuffle': True, 'beta_1': 0.7371576329217597, 'beta_2': 0.5537007207124028}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.551900658633888, 'activation': 'relu', 'hidden_layer_sizes': (22, 168, 172, 24), 'alpha': 1.4952055697538051, 'max_iter': 450, 'batch_size': 879, 'shuffle': True, 'momentum': 0.5993798011102953, 'nesterovs_momentum': True}"
14,"{'solver': 'adam', 'learning_rate_init': 5.630848972551279, 'activation': 'relu', 'hidden_layer_sizes': (2, 113, 157, 191, 65), 'alpha': 3.041016750340939, 'max_iter': 300, 'batch_size': 176, 'shuffle': True, 'beta_1': 0.39405825777678505, 'beta_2': 0.1367413790707951}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.976678223589055, 'activation': 'tanh', 'hidden_layer_sizes': (32,), 'alpha': 0.776779576830208, 'max_iter': 128, 'batch_size': 1294, 'shuffle': False, 'momentum': 0.1692020788513841, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 6.8949027552536535, 'activation': 'logistic', 'hidden_layer_sizes': (51, 19, 165), 'alpha': 9.077975162227322, 'max_iter': 206, 'batch_size': 1333, 'shuffle': True, 'beta_1': 0.8992294183714391, 'beta_2': 0.8638864486450032}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.257019829810129, 'activation': 'relu', 'hidden_layer_sizes': (192,), 'alpha': 5.1990729217225855, 'max_iter': 396, 'batch_size': 726, 'shuffle': True, 'momentum': 0.24730147341561745, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 4.05779021290548, 'activation': 'logistic', 'hidden_layer_sizes': (183, 74), 'alpha': 4.261010520112621, 'max_iter': 318, 'batch_size': 650, 'shuffle': False, 'beta_1': 0.12088726097313657, 'beta_2': 0.6325723539670487}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.7483778541227695, 'activation': 'relu', 'hidden_layer_sizes': (98,), 'alpha': 1.1016375259746254, 'max_iter': 247, 'batch_size': 840, 'shuffle': True, 'momentum': 0.654423660630468, 'nesterovs_momentum': False}"
17,"{'solver': 'adam', 'learning_rate_init': 0.9315324161149992, 'activation': 'logistic', 'hidden_layer_sizes': (64, 200, 167, 194), 'alpha': 8.508798231256977, 'max_iter': 94, 'batch_size': 668, 'shuffle': False, 'beta_1': 0.020769360360124715, 'beta_2': 0.6906833430333724}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.413062957322304, 'activation': 'tanh', 'hidden_layer_sizes': (186, 121, 93, 17), 'alpha': 3.3194851853433205, 'max_iter': 200, 'batch_size': 868, 'shuffle': False, 'momentum': 0.49338626744892616, 'nesterovs_momentum': True}"
18,"{'solver': 'adam', 'learning_rate_init': 8.640586400220387, 'activation': 'logistic', 'hidden_layer_sizes': (6, 100), 'alpha': 2.3982191394356636, 'max_iter': 240, 'batch_size': 855, 'shuffle': False, 'beta_1': 0.6401597939283963, 'beta_2': 0.9813134351880793}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.271311801418326, 'activation': 'tanh', 'hidden_layer_sizes': (196,), 'alpha': 4.114835254456412, 'max_iter': 446, 'batch_size': 1084, 'shuffle': True, 'momentum': 0.15472665093180607, 'nesterovs_momentum': True}"
19,"{'solver': 'adam', 'learning_rate_init': 7.40022179639925, 'activation': 'relu', 'hidden_layer_sizes': (161, 186), 'alpha': 0.7799030004139831, 'max_iter': 458, 'batch_size': 1116, 'shuffle': True, 'beta_1': 0.6730877021712303, 'beta_2': 0.1626565448874115}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.934758012720295, 'activation': 'tanh', 'hidden_layer_sizes': (191, 107, 169, 198), 'alpha': 6.187253952560007, 'max_iter': 305, 'batch_size': 51, 'shuffle': True, 'momentum': 0.349218690792811, 'nesterovs_momentum': False}"
