,MLP (SGD)
0,True
1,False
2,False
3,False
4,False
5,True
6,True
7,True
8,False
9,False
10,False
11,False
12,True
13,True
14,False
15,False
16,False
17,True
18,True
19,False
20,True
21,True
22,True
23,False
24,True
25,False
26,False
27,True
28,True
29,False
